"","CensusYear","Population"
"1",2018,11175
"2",2019,11009
"3",2016,5764
"4",2017,5706
"5",2011,6926
"6",2018,11949
"7",2015,4593
"8",2016,4563
"9",2010,6053
"10",2012,25372
"11",2013,25782
"12",2017,120893
"13",2010,47947
"14",2017,1565
"15",2018,1566
"16",2010,119
"17",2018,279
"18",2019,273
"19",2011,3199
"20",2012,3225
"21",2017,8213
"22",2018,8186
"23",2010,8508
"24",2018,9779
"25",2015,204831
"26",2016,205768
"27",2012,5137
"28",2013,5075
"29",2019,8082
"30",2012,9388
"31",2013,9443
"32",2013,6504
"33",2014,6536
"34",2014,3387
"35",2015,3352
"36",2015,23553
"37",2016,23435
"38",2018,15746
"39",2019,15568
"40",2019,4428
"41",2012,112775
"42",2013,113058
"43",2011,5386
"44",2012,5258
"45",2011,57712
"46",2013,12816
"47",2014,1776
"48",2015,19305
"49",2014,7811
"50",2015,8090
"51",2015,7219
"52",2016,7173
"53",2010,13092
"54",2015,16118
"55",2013,11190
"56",2014,11290
"57",2011,24441
"58",2017,6671
"59",2012,4719
"60",2013,4643
"61",2018,5537
"62",2010,24295
"63",2015,121974
"64",2016,121668
"65",2018,51534
"66",2010,1737
"67",2012,208
"68",2013,3194
"69",2011,8548
"70",2011,8380
"71",2012,8290
"72",2013,10115
"73",2013,203694
"74",2014,204888
"75",2011,5228
"76",2013,8674
"77",2014,8632
"78",2015,9384
"79",2016,9321
"80",2010,6501
"81",2012,3439
"82",2013,3422
"83",2012,23523
"84",2013,23519
"85",2013,16174
"86",2014,16032
"87",2016,4567
"88",2015,114111
"89",2016,115311
"90",2014,5165
"91",2015,5145
"92",2018,63909
"93",2019,64672
"94",2019,12968
"95",2011,1757
"96",2011,19157
"97",2012,19219
"98",2011,6830
"99",2012,7204
"100",2017,7104
"101",2018,6988
"102",2018,12058
"103",2019,11831
"104",2019,15639
"105",2011,216518
"106",2011,56699
"107",2012,57109
"108",2011,11186
"109",2018,5707
"110",2019,5721
"111",2010,23793
"112",2012,6837
"113",2016,12119
"114",2017,12070
"115",2011,4623
"116",2016,5751
"117",2017,5664
"118",2011,24658
"119",2011,121481
"120",2011,48192
"121",2012,48221
"122",2011,1708
"123",2013,220
"124",2014,254
"125",2016,3010
"126",2017,3004
"127",2019,8074
"128",2013,8288
"129",2014,8289
"130",2016,9828
"131",2017,9785
"132",2011,200778
"133",2019,4672
"134",2010,9055
"135",2018,8208
"136",2010,9592
"137",2016,6491
"138",2017,6416
"139",2011,3424
"140",2010,23396
"141",2011,4799
"142",2011,112576
"143",2010,5468
"144",2019,5100
"145",2013,59499
"146",2014,60414
"147",2016,13264
"148",2015,1805
"149",2016,1790
"150",2018,18935
"151",2019,18778
"152",2013,7598
"153",2011,7301
"154",2013,12760
"155",2014,12673
"156",2014,16138
"157",2015,231490
"158",2016,231936
"159",2016,58213
"160",2017,57852
"161",2018,4826
"162",2017,11194
"163",2010,5998
"164",2014,26297
"165",2015,26878
"166",2014,12063
"167",2015,12103
"168",2010,4607
"169",2013,5875
"170",2017,28015
"171",2018,28519
"172",2018,119938
"173",2019,119131
"174",2015,49637
"175",2014,1599
"176",2015,1624
"177",2014,3176
"178",2015,3116
"179",2015,8295
"180",2016,8287
"181",2018,7740
"182",2019,7622
"183",2019,9682
"184",2010,198957
"185",2014,5059
"186",2015,4943
