"","DateDesc","Jefferson","Orleans","Plaquemines","St. Bernard","St. Charles","St. James","St. John the Baptist","St. Tammany"
"1","4/1/2010 Census population",53702,18051,1067,3309,2648,256,2175,10970
"2","4/1/2010 population estimates base",53704,18051,1067,3309,2651,256,2170,10971
"3","7/1/2010 population estimate",53965,18235,1081,3380,2651,257,2169,11124
"4","7/1/2011 population estimate",56096,18956,1209,3714,2656,271,2253,11577
"5","7/1/2012 population estimate",57098,19520,1322,3927,2771,290,2256,11862
"6","7/1/2013 population estimate",58288,20410,1403,4157,2831,324,2269,12262
"7","7/1/2014 population estimate",59432,20585,1471,4332,2948,332,2380,12773
"8","7/1/2015 population estimate",60815,21012,1600,4566,3063,316,2461,13241
"9","7/1/2016 population estimate",62171,21244,1619,4533,3191,347,2503,13825
"10","7/1/2017 population estimate",62967,21293,1713,4519,3223,367,2604,14462
"11","7/1/2018 population estimate",63640,21551,1825,4684,3281,363,2715,14850
"12","7/1/2019 population estimate",64730,21487,1863,4863,3359,390,2857,15483
"13","7/1/2020 population estimate",65054,21664,1879,5043,3431,382,2993,15808
