SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,22,001,Louisiana,Acadia Parish,1,61773,30161,31612,4669,2425,2244,8449,4399,4050,3745,1916,1829,5811,2951,2860,46799,22402,24397,44910,21421,23489,23794,11681,12113,15165,7288,7877,16048,7859,8189,7886,3323,4563,4669,2425,2244,4601,2388,2213,4775,2485,2290,4644,2341,2303,3985,2052,1933,4042,1971,2071,3718,1776,1942,3456,1622,1834,3949,1919,2030,4591,2283,2308,4519,2225,2294,3845,1872,1973,3093,1479,1614,2453,1144,1309,1951,883,1068,1489,623,866,1097,428,669,896,245,651,35.7,33.9,37.3
050,22,001,Louisiana,Acadia Parish,2,61788,30171,31617,4669,2425,2244,8450,4400,4050,3745,1917,1828,5815,2953,2862,46812,22410,24402,44924,21429,23495,23802,11687,12115,15170,7292,7878,16052,7860,8192,7887,3324,4563,4669,2425,2244,4603,2390,2213,4775,2485,2290,4646,2342,2304,3986,2053,1933,4043,1971,2072,3721,1778,1943,3457,1623,1834,3949,1920,2029,4593,2282,2311,4521,2228,2293,3845,1871,1974,3093,1479,1614,2454,1145,1309,1951,883,1068,1489,623,866,1097,428,669,896,245,651,35.7,33.9,37.3
050,22,001,Louisiana,Acadia Parish,3,61876,30183,31693,4623,2387,2236,8467,4406,4061,3744,1911,1833,5815,2955,2860,46928,22452,24476,45042,21479,23563,23810,11685,12125,15178,7293,7885,16120,7891,8229,7929,3340,4589,4623,2387,2236,4624,2405,2219,4770,2475,2295,4590,2323,2267,4042,2069,1973,4047,1974,2073,3743,1787,1956,3469,1628,1841,3919,1904,2015,4583,2272,2311,4530,2228,2302,3884,1888,1996,3123,1503,1620,2455,1137,1318,1968,895,1073,1499,629,870,1096,429,667,911,250,661,35.8,34.0,37.3
050,22,001,Louisiana,Acadia Parish,4,61872,30103,31769,4540,2284,2256,8471,4388,4083,3704,1913,1791,5896,3003,2893,47025,22477,24548,45157,21518,23639,23747,11658,12089,15073,7227,7846,16220,7941,8279,7968,3347,4621,4540,2284,2256,4657,2415,2242,4740,2458,2282,4368,2248,2120,4306,2183,2123,4005,1965,2040,3871,1860,2011,3404,1590,1814,3793,1812,1981,4420,2179,2241,4521,2223,2298,3993,1931,2062,3286,1608,1678,2453,1105,1348,1984,909,1075,1495,633,862,1106,443,663,930,257,673,35.6,33.9,37.3
050,22,001,Louisiana,Acadia Parish,5,62007,30167,31840,4523,2236,2287,8393,4386,4007,3697,1909,1788,5837,2983,2854,47206,22562,24644,45394,21636,23758,23712,11663,12049,15144,7275,7869,16199,7930,8269,8214,3448,4766,4523,2236,2287,4679,2467,2212,4680,2423,2257,4190,2182,2008,4378,2206,2172,3948,1950,1998,4005,1929,2076,3453,1610,1843,3738,1786,1952,4235,2067,2168,4506,2230,2276,4148,1997,2151,3310,1636,1674,2626,1171,1455,1989,919,1070,1528,648,880,1126,438,688,945,272,673,35.8,34.1,37.4
050,22,001,Louisiana,Acadia Parish,6,62310,30360,31950,4489,2249,2240,8467,4403,4064,3746,1949,1797,5857,2970,2887,47445,22705,24740,45608,21759,23849,23847,11810,12037,15190,7389,7801,16220,7893,8327,8341,3507,4834,4489,2249,2240,4783,2514,2269,4630,2387,2243,4236,2217,2019,4421,2204,2217,4025,2020,2005,4015,1951,2064,3484,1636,1848,3666,1782,1884,4098,1966,2132,4534,2240,2294,4236,2045,2191,3352,1642,1710,2704,1213,1491,2051,933,1118,1515,650,865,1108,425,683,963,286,677,35.7,34.0,37.4
050,22,001,Louisiana,Acadia Parish,7,62681,30545,32136,4492,2276,2216,8460,4391,4069,3774,1969,1805,5711,2882,2829,47816,22873,24943,45955,21909,24046,23951,11828,12123,15441,7491,7950,16259,7885,8374,8544,3651,4893,4492,2276,2216,4755,2494,2261,4680,2411,2269,4223,2200,2023,4287,2137,2150,4173,2085,2088,4042,1963,2079,3658,1747,1911,3568,1696,1872,4024,1918,2106,4501,2214,2287,4246,2092,2154,3488,1661,1827,2802,1300,1502,2069,940,1129,1539,665,874,1123,442,681,1011,304,707,35.9,34.3,37.5
050,22,001,Louisiana,Acadia Parish,8,62696,30567,32129,4503,2327,2176,8417,4327,4090,3755,1933,1822,5454,2767,2687,47893,22956,24937,46021,21980,24041,23911,11842,12069,15615,7592,8023,16211,7868,8343,8741,3753,4988,4503,2327,2176,4643,2371,2272,4687,2406,2281,4249,2225,2024,4047,2025,2022,4297,2169,2128,4052,1946,2106,3797,1817,1980,3469,1660,1809,3871,1850,2021,4404,2176,2228,4301,2099,2202,3635,1743,1892,2873,1358,1515,2129,957,1172,1577,685,892,1106,424,682,1056,329,727,36.1,34.5,37.6
050,22,001,Louisiana,Acadia Parish,9,62830,30553,32277,4483,2259,2224,8416,4337,4079,3691,1903,1788,5294,2713,2581,48132,23048,25084,46240,22054,24186,23859,11807,12052,15777,7649,8128,16162,7815,8347,9007,3877,5130,4483,2259,2224,4573,2305,2268,4746,2490,2256,4208,2197,2011,3874,1961,1913,4451,2226,2225,3997,1926,2071,3854,1872,1982,3475,1625,1850,3815,1797,2018,4303,2115,2188,4263,2089,2174,3781,1814,1967,3009,1441,1568,2144,937,1207,1637,718,919,1123,444,679,1094,337,757,36.3,34.8,37.8
050,22,001,Louisiana,Acadia Parish,10,62581,30429,32152,4470,2251,2219,8205,4216,3989,3700,1895,1805,5185,2670,2515,48058,23015,25043,46206,22067,24139,23683,11730,11953,15731,7656,8075,16036,7730,8306,9254,4011,5243,4470,2251,2219,4444,2237,2207,4694,2470,2224,4211,2179,2032,3741,1895,1846,4449,2239,2210,3899,1893,2006,3941,1905,2036,3442,1619,1823,3682,1755,1927,4161,2009,2152,4270,2092,2178,3923,1874,2049,3036,1471,1565,2308,1001,1307,1630,735,895,1155,463,692,1125,341,784,36.7,35.1,38.1
