"","AgeGroupName","Jefferson","Orleans","Plaquemines","St. Bernard","St. Charles","St. James","St. John the Baptist","St. Tammany"
"1","Under 5 years",27700,22002,1493,3166,3129,1179,2689,15439
"2","5 to 9",26523,21209,1619,3558,3541,1297,2843,16725
"3","10 to 14",26201,21345,1771,3663,3865,1342,2993,18581
"4","15 to 19",23350,21248,1525,2992,3429,1236,2767,17121
"5","20 to 24",23465,22804,1454,2540,3117,1194,2655,14011
"6","25 to 29",29769,30828,1528,3402,3366,1426,2898,14272
"7","30 to 34",30654,34841,1473,4009,3436,1305,2767,15491
"8","35 to 39",29430,31592,1620,3710,3599,1305,2712,17434
"9","40 to 44",25851,24830,1452,3133,3518,1183,2521,16768
"10","45 to 49",24788,22379,1393,2720,3129,999,2490,16132
"11","50 to 54",26151,22634,1520,2657,3487,1365,2666,17126
"12","55 to 59",29930,24742,1552,3109,3945,1559,3192,18363
"13","60 to 64",29845,25865,1339,2960,3738,1489,2847,18273
"14","65 to 69",25817,22669,1139,2308,2798,1301,2326,16044
"15","70 to 74",20822,16914,839,1570,2077,992,1751,13434
"16","75 to 79",13986,10226,612,974,1283,627,1143,8587
"17","80 to 84",8842,6568,408,565,812,513,697,5035
"18","85 plus",9222,6780,376,611,718,415,559,4610
