"","PlaceName","Asian","Black","Hispanic","Total","White","pctwhite","pctblack","pctasian","pcthisp","white2000","black2000","asian2000","hispanic2000"
"1","Orleans",11431,229116,21664,389476,120901,0.310419640748082,0.588267313005166,0.0293496903531925,0.0556234530497386,0.266,0.667,0.023,0.031
"2","Jefferson",19018,118022,65054,432346,222020,0.513523890587631,0.272980436964838,0.0439879170849274,0.150467449681505,0.645,0.227,0.031,0.071
"3","Plaquemines",994,4771,1879,23113,14514,0.627958291870376,0.2064206290832,0.0430061004629429,0.0812962402111366,0.688,0.233,0.026,0.016
"4","St. Bernard",1062,11301,5043,47647,28988,0.608390874556635,0.237181774298487,0.0222889164060696,0.105840871408483,0.844,0.076,0.013,0.051
"5","St. Charles",600,13709,3431,52987,34269,0.646743540868515,0.258723837922509,0.0113235321871402,0.0647517315567969,0.705,0.251,0.006,0.028
"6","St. James",54,9974,382,20727,10090,0.48680465093839,0.481208086071308,0.00260529743812419,0.0184300670622859,0.497,0.492,0,0.006
"7","St. John the Baptist",484,24684,2993,42516,13651,0.321079123153636,0.580581428168219,0.0113839495719259,0.0703970270015994,0.51,0.446,0.005,0.029
"8","St. Tammany",3767,33988,15808,263446,204025,0.774447135276299,0.129013156396377,0.0142989455144508,0.060004706846944,0.853,0.098,0.008,0.025
"9","Metro",37410,445565,116254,1272258,648458,0.509690644507639,0.350215915325351,0.0294044132558019,0.0913761202523388,0.547,0.373,0.021,0.044
"10","United States",19367197,41427341,61312879,329484123,196773390,0.597216607004763,0.125733952285161,0.0587803649646572,0.186087506862963,0.691,0.121,0.037,0.125
