"geoid","tblid","order","cest","clb","cub"
"A4000US001","B01001","       1","885025","*****","*****"
"A4000US001","B01001","       2","432221","431662","432780"
"A4000US001","B01001","       3","32302","32298","32306"
"A4000US001","B01001","       4","30991","28681","33301"
"A4000US001","B01001","       5","32415","30077","34753"
"A4000US001","B01001","       6","18252","17689","18815"
"A4000US001","B01001","       7","11540","10763","12317"
"A4000US001","B01001","       8","5100","3713","6487"
"A4000US001","B01001","       9","7121","5584","8658"
"A4000US001","B01001","      10","17868","16071","19665"
"A4000US001","B01001","      11","32791","31819","33763"
"A4000US001","B01001","      12","29714","29039","30389"
"A4000US001","B01001","      13","28407","26254","30560"
"A4000US001","B01001","      14","30684","28537","32831"
"A4000US001","B01001","      15","30249","29910","30588"
"A4000US001","B01001","      16","27710","27339","28081"
"A4000US001","B01001","      17","23062","21558","24566"
"A4000US001","B01001","      18","8171","6852","9490"
"A4000US001","B01001","      19","10939","9657","12221"
"A4000US001","B01001","      20","6437","5476","7398"
"A4000US001","B01001","      21","9155","8007","10303"
"A4000US001","B01001","      22","15710","14401","17019"
"A4000US001","B01001","      23","11699","10715","12683"
"A4000US001","B01001","      24","8022","7174","8870"
"A4000US001","B01001","      25","3882","3323","4441"
"A4000US001","B01001","      26","452804","452245","453363"
"A4000US001","B01001","      27","31165","31069","31261"
"A4000US001","B01001","      28","30070","28092","32048"
"A4000US001","B01001","      29","30174","28222","32126"
"A4000US001","B01001","      30","18233","17760","18706"
"A4000US001","B01001","      31","10867","10370","11364"
"A4000US001","B01001","      32","5975","4824","7126"
"A4000US001","B01001","      33","7794","6426","9162"
"A4000US001","B01001","      34","17682","16144","19220"
"A4000US001","B01001","      35","31618","31228","32008"
"A4000US001","B01001","      36","29076","28375","29777"
"A4000US001","B01001","      37","27556","25730","29382"
"A4000US001","B01001","      38","32733","30846","34620"
"A4000US001","B01001","      39","32597","32095","33099"
"A4000US001","B01001","      40","29581","29106","30056"
"A4000US001","B01001","      41","25857","24404","27310"
"A4000US001","B01001","      42","10436","9270","11602"
"A4000US001","B01001","      43","11166","10050","12282"
"A4000US001","B01001","      44","8096","6931","9261"
"A4000US001","B01001","      45","9971","8923","11019"
"A4000US001","B01001","      46","17688","16454","18922"
"A4000US001","B01001","      47","15317","13921","16713"
"A4000US001","B01001","      48","10459","9165","11753"
