"geoid","tblid","order","cest","clb","cub"
"01000US","B01001","       1","285691501","*****","*****"
"01000US","B01001","       2","139782818","139718900","139846736"
"01000US","B01001","       3","10211099","10173657","10248541"
"01000US","B01001","       4","10050035","9973773","10126297"
"01000US","B01001","       5","10789307","10715037","10863577"
"01000US","B01001","       6","6186923","6157560","6216286"
"01000US","B01001","       7","3599707","3568504","3630910"
"01000US","B01001","       8","1906271","1863281","1949261"
"01000US","B01001","       9","1965293","1919607","2010979"
"01000US","B01001","      10","5877263","5820679","5933847"
"01000US","B01001","      11","9347078","9313447","9380709"
"01000US","B01001","      12","9869187","9836262","9902112"
"01000US","B01001","      13","10233036","10136399","10329673"
"01000US","B01001","      14","11225203","11130470","11319936"
"01000US","B01001","      15","10740336","10706676","10773996"
"01000US","B01001","      16","9402457","9366905","9438009"
"01000US","B01001","      17","7837465","7783756","7891174"
"01000US","B01001","      18","2679365","2635204","2723526"
"01000US","B01001","      19","3315977","3269475","3362479"
"01000US","B01001","      20","1934296","1901207","1967385"
"01000US","B01001","      21","2577116","2538585","2615647"
"01000US","B01001","      22","3772174","3730393","3813955"
"01000US","B01001","      23","3063713","3030925","3096501"
"01000US","B01001","      24","1993565","1962897","2024233"
"01000US","B01001","      25","1205952","1179540","1232364"
"01000US","B01001","      26","145908683","145844765","145972601"
"01000US","B01001","      27","9797053","9763446","9830660"
"01000US","B01001","      28","9609075","9537474","9680676"
"01000US","B01001","      29","10295304","10224677","10365931"
"01000US","B01001","      30","5985508","5954223","6016793"
"01000US","B01001","      31","3305507","3272385","3338629"
"01000US","B01001","      32","1852646","1808287","1897005"
"01000US","B01001","      33","1842165","1798599","1885731"
"01000US","B01001","      34","5884168","5827000","5941336"
"01000US","B01001","      35","9424264","9391308","9457220"
"01000US","B01001","      36","10051990","10021468","10082512"
"01000US","B01001","      37","10460437","10384238","10536636"
"01000US","B01001","      38","11652898","11581077","11724719"
"01000US","B01001","      39","11158499","11127650","11189348"
"01000US","B01001","      40","9917777","9889963","9945591"
"01000US","B01001","      41","8389704","8335472","8443936"
"01000US","B01001","      42","2926661","2879291","2974031"
"01000US","B01001","      43","3696542","3654734","3738350"
"01000US","B01001","      44","2251555","2217436","2285674"
"01000US","B01001","      45","3048661","3007483","3089839"
"01000US","B01001","      46","4579948","4542296","4617600"
"01000US","B01001","      47","4170611","4128872","4212350"
"01000US","B01001","      48","3187802","3148007","3227597"
"01000US","B01001","      49","2419908","2381874","2457942"
"01000US","B01002","       2","36.2","36.0","36.4"
"01000US","B01002","       3","35.0","34.8","35.2"
"01000US","B01002","       4","37.4","37.2","37.6"
"01000US","B01003","       1","285691501","*****","*****"
"01000US","B02001","       1","285691501","*****","*****"
"01000US","B02001","       2","216036244","215809398","216263090"
"01000US","B02001","       3","34772381","34679004","34865758"
"01000US","B02001","       4","2151322","2103555","2199089"
"01000US","B02001","       5","12097281","12044920","12149642"
"01000US","B02001","       6","403832","381192","426472"
"01000US","B02001","       7","14824724","14613740","15035708"
"01000US","B02001","       8","5405717","5276815","5534619"
"01000US","B02001","       9","1089477","1041403","1137551"
"01000US","B02001","      10","4316240","4208791","4423689"
"01000US","B02003","       1","285691501","*****","*****"
"01000US","B02003","       2","280285784","280156882","280414686"
"01000US","B02003","       3","216036244","215809398","216263090"
"01000US","B02003","       4","34772381","34679004","34865758"
"01000US","B02003","       5","2151322","2103555","2199089"
"01000US","B02003","       6","12097281","12044920","12149642"
"01000US","B02003","       7","403832","381192","426472"
"01000US","B02003","       8","14824724","14613740","15035708"
"01000US","B02003","       9","5405717","5276815","5534619"
"01000US","B02003","      10","1089477","1041403","1137551"
"01000US","B02003","      11","4316240","4208791","4423689"
"01000US","B02003","      12","5032129","4915268","5148990"
"01000US","B02003","      13","1141232","1088289","1194175"
"01000US","B02003","      14","1370675","1315626","1425724"
"01000US","B02003","      15","881813","849722","913904"
"01000US","B02003","      16","204832","184055","225609"
"01000US","B02003","      17","1433577","1377194","1489960"
"01000US","B02003","      18","342216","318754","365678"
"01000US","B02003","      19","31372","25284","37460"
"01000US","B02005","       1","2151322","2103555","2199089"
"01000US","B02005","       2","1729574","1686801","1772347"
"01000US","B02005","       3","66048","52425","79671"
"01000US","B02005","       4","39508","15165","63851"
"01000US","B02005","       5","331491","312103","350879"
"01000US","B02005","       6","15715","8266","23164"
"01000US","B02005","       7","12773","6988","18558"
"01000US","B02005","       8","92041","81792","102290"
"01000US","B02005","       9","55107","44998","65216"
"01000US","B02005","      10","2503","955","4051"
"01000US","B02005","      11","8713","4782","12644"
"01000US","B02005","      12","3840","2214","5466"
"01000US","B02005","      13","27243","21580","32906"
"01000US","B02005","      14","2065","1072","3058"
"01000US","B02005","      15","8915","5759","12071"
"01000US","B02005","      16","2337","217","4457"
"01000US","B02005","      17","50982","39874","62090"
"01000US","B02005","      18","2317","472","4162"
"01000US","B02005","      19","59433","53823","65043"
"01000US","B02005","      20","1993","652","3334"
"01000US","B02005","      21","230401","204174","256628"
"01000US","B02005","      22","13982","8700","19264"
"01000US","B02005","      23","12824","9266","16382"
"01000US","B02005","      24","14944","10000","19888"
"01000US","B02005","      25","48709","19578","77840"
"01000US","B02005","      26","14952","10316","19588"
"01000US","B02005","      27","69203","54160","84246"
"01000US","B02005","      28","4794","1667","7921"
"01000US","B02005","      29","12578","6318","18838"
"01000US","B02005","      30","8619","4916","12322"
"01000US","B02005","      31","67666","52606","82726"
"01000US","B02005","      32","20577","13959","27195"
"01000US","B02005","      33","1867","389","3345"
"01000US","B02005","      34","8342","6302","10382"
"01000US","B02005","      35","16169","11339","20999"
"01000US","B02005","      36","10419","0","27279"
"01000US","B02005","      37","390504","361750","419258"
"01000US","B02005","      38","45736","38214","53258"
"01000US","B02005","      39","89462","81342","97582"
"01000US","B02005","      40","12370","8693","16047"
"01000US","B02005","      41","11037","7638","14436"
"01000US","B02005","      42","35951","11084","60818"
"01000US","B02005","      43","18677","4210","33144"
"01000US","B02005","      44","11427","0","27048"
"01000US","B02005","      45","11808","9811","13805"
"01000US","B02005","      46","274742","254483","295001"
"01000US","B02006","       1","12097281","12044920","12149642"
"01000US","B02006","       2","2245239","2185945","2304533"
"01000US","B02006","       3","50473","36982","63964"
"01000US","B02006","       4","195208","172129","218287"
"01000US","B02006","       5","2829627","2754807","2904447"
"01000US","B02006","       6","2148227","2082151","2214303"
"01000US","B02006","       7","163733","138992","188474"
"01000US","B02006","       8","52267","41486","63048"
"01000US","B02006","       9","832039","796701","867377"
"01000US","B02006","      10","1251092","1190164","1312020"
"01000US","B02006","      11","226661","190735","262587"
"01000US","B02006","      12","11458","7355","15561"
"01000US","B02006","      13","208852","178783","238921"
"01000US","B02006","      14","22339","16848","27830"
"01000US","B02006","      15","70771","58653","82889"
"01000US","B02006","      16","130548","114911","146185"
"01000US","B02006","      17","1267510","1207353","1327667"
"01000US","B02006","      18","250666","227976","273356"
"01000US","B02006","      19","140571","122417","158725"
"01000US","B02007","       1","403832","381192","426472"
"01000US","B02007","       2","256406","235712","277100"
"01000US","B02007","       3","154666","136758","172574"
"01000US","B02007","       4","60520","47833","73207"
"01000US","B02007","       5","39052","29308","48796"
"01000US","B02007","       6","2168","505","3831"
"01000US","B02007","       7","101335","84771","117899"
"01000US","B02007","       8","68336","54223","82449"
"01000US","B02007","       9","32999","22937","43061"
"01000US","B02007","      10","22912","14392","31432"
"01000US","B02007","      11","22840","14356","31324"
"01000US","B02007","      12","72","0","202"
"01000US","B02007","      13","8211","4967","11455"
"01000US","B02007","      14","9620","5979","13261"
"01000US","B02007","      15","5348","2280","8416"
"01000US","B02008","       1","220707536","220492105","220922967"
"01000US","B02009","       1","36597015","36528597","36665433"
"01000US","B02010","       1","4006160","3940605","4071715"
"01000US","B02011","       1","13466479","13416350","13516608"
"01000US","B02012","       1","743314","710884","775744"
"01000US","B02013","       1","15983697","15762294","16205100"
"01000US","B03001","       1","285691501","*****","*****"
"01000US","B03001","       2","245232305","245208228","245256382"
"01000US","B03001","       3","40459196","40435119","40483273"
"01000US","B03001","       4","25894763","25734311","26055215"
"01000US","B03001","       5","3874322","3783673","3964971"
"01000US","B03001","       6","1437828","1384398","1491258"
"01000US","B03001","       7","1051032","990557","1111507"
"01000US","B03001","       8","2901679","2786152","3017206"
"01000US","B03001","       9","120316","98938","141694"
"01000US","B03001","      10","698745","642315","755175"
"01000US","B03001","      11","407994","365775","450213"
"01000US","B03001","      12","248725","215824","281626"
"01000US","B03001","      13","113053","95257","130849"
"01000US","B03001","      14","1201002","1134595","1267409"
"01000US","B03001","      15","111844","89257","134431"
"01000US","B03001","      16","2215503","2140054","2290952"
"01000US","B03001","      17","189190","164563","213817"
"01000US","B03001","      18","90401","74674","106128"
"01000US","B03001","      19","106458","92566","120350"
"01000US","B03001","      20","686185","641807","730563"
"01000US","B03001","      21","453360","407540","499180"
"01000US","B03001","      22","14123","7998","20248"
"01000US","B03001","      23","399240","359869","438611"
"01000US","B03001","      24","41577","31084","52070"
"01000US","B03001","      25","164699","144561","184837"
"01000US","B03001","      26","70270","58231","82309"
"01000US","B03001","      27","3084069","2974061","3194077"
"01000US","B03001","      28","358570","323770","393370"
"01000US","B03001","      29","656169","616552","695786"
"01000US","B03001","      30","57417","45769","69065"
"01000US","B03001","      31","2011913","1928636","2095190"
"01000US","B03002","       1","285691501","*****","*****"
"01000US","B03002","       2","245232305","245208228","245256382"
"01000US","B03002","       3","192362875","192324442","192401308"
"01000US","B03002","       4","34142554","34051425","34233683"
"01000US","B03002","       5","1852775","1814319","1891231"
"01000US","B03002","       6","11955401","11904873","12005929"
"01000US","B03002","       7","364656","344717","384595"
"01000US","B03002","       8","601187","560769","641605"
"01000US","B03002","       9","3952857","3850573","4055141"
"01000US","B03002","      10","185083","169857","200309"
"01000US","B03002","      11","3767774","3668524","3867024"
"01000US","B03002","      12","40459196","40435119","40483273"
"01000US","B03002","      13","23673369","23454573","23892165"
"01000US","B03002","      14","629827","585884","673770"
"01000US","B03002","      15","298547","267524","329570"
"01000US","B03002","      16","141880","124870","158890"
"01000US","B03002","      17","39176","28570","49782"
"01000US","B03002","      18","14223537","14017516","14429558"
"01000US","B03002","      19","1452860","1391988","1513732"
"01000US","B03002","      20","904394","861540","947248"
"01000US","B03002","      21","548466","512025","584907"
"01000US","B04001","       1","285691501","*****","*****"
"01000US","B04001","       2","57813","41421","74205"
"01000US","B04001","       3","156601","134040","179162"
"01000US","B04001","       4","7144","4821","9467"
"01000US","B04001","       5","20061233","19730407","20392059"
"01000US","B04001","       6","1110014","1058170","1161858"
"01000US","B04001","       7","135783","113103","158463"
"01000US","B04001","       8","51544","36893","66195"
"01000US","B04001","       9","48023","37142","58904"
"01000US","B04001","      10","337230","313990","360470"
"01000US","B04001","      11","34307","24722","43892"
"01000US","B04001","      12","62089","50050","74128"
"01000US","B04001","      13","109720","93781","125659"
"01000US","B04001","      14","220076","194025","246127"
