GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,TRACTA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URB_AREAA,ANPSADPI,FF5001,FF5002,FF5003,FF5004,FF5005,FF5006,FF5007,FF5008,FF5009,FF5010,FF5011,FF5012,FF5013,FF5014,FF5015,FF5016,FF5017,FF5018,FF5019,FF5020,FF5021,FF5022,FF5023,FF5024,FF5025,FF5026,FF5027,FF5028,FF5029,FF5030,FF5AAA001,FF5AAA002,FF5AAA003,FF5AAA004,FF5AAA005,FF5AAA006,FF5AAA007,FF5AAA008,FF5AAA009,FF5AAA010,FF5AAA011,FF5AAA012,FF5AAA013,FF5AAA014,FF5AAA015,FF5AAA016,FF5AAA017,FF5AAA018,FF5AAA019,FF5AAA020,FF5AAA021,FF5AAA022,FF5AAA023,FF5AAA024,FF5AAA025,FF5AAA026,FF5AAA027,FF5AAA028,FF5AAA029,FF5AAA030,FF5AAB001,FF5AAB002,FF5AAB003,FF5AAB004,FF5AAB005,FF5AAB006,FF5AAB007,FF5AAB008,FF5AAB009,FF5AAB010,FF5AAB011,FF5AAB012,FF5AAB013,FF5AAB014,FF5AAB015,FF5AAB016,FF5AAB017,FF5AAB018,FF5AAB019,FF5AAB020,FF5AAB021,FF5AAB022,FF5AAB023,FF5AAB024,FF5AAB025,FF5AAB026,FF5AAB027,FF5AAB028,FF5AAB029,FF5AAB030,FF5AAC001,FF5AAC002,FF5AAC003,FF5AAC004,FF5AAC005,FF5AAC006,FF5AAC007,FF5AAC008,FF5AAC009,FF5AAC010,FF5AAC011,FF5AAC012,FF5AAC013,FF5AAC014,FF5AAC015,FF5AAC016,FF5AAC017,FF5AAC018,FF5AAC019,FF5AAC020,FF5AAC021,FF5AAC022,FF5AAC023,FF5AAC024,FF5AAC025,FF5AAC026,FF5AAC027,FF5AAC028,FF5AAC029,FF5AAC030,FF5AAG001,FF5AAG002,FF5AAG003,FF5AAG004,FF5AAG005,FF5AAG006,FF5AAG007,FF5AAG008,FF5AAG009,FF5AAG010,FF5AAG011,FF5AAG012,FF5AAG013,FF5AAG014,FF5AAG015,FF5AAG016,FF5AAG017,FF5AAG018,FF5AAG019,FF5AAG020,FF5AAG021,FF5AAG022,FF5AAG023,FF5AAG024,FF5AAG025,FF5AAG026,FF5AAG027,FF5AAG028,FF5AAG029,FF5AAG030,FF5AAW001,FF5AAW002,FF5AAW003,FF5AAW004,FF5AAW005,FF5AAW006,FF5AAW007,FF5AAW008,FF5AAW009,FF5AAW010,FF5AAW011,FF5AAW012,FF5AAW013,FF5AAW014,FF5AAW015,FF5AAW016,FF5AAW017,FF5AAW018,FF5AAW019,FF5AAW020,FF5AAW021,FF5AAW022,FF5AAW023,FF5AAW024,FF5AAW025,FF5AAW026,FF5AAW027,FF5AAW028,FF5AAW029,FF5AAW030,FF5AAX001,FF5AAX002,FF5AAX003,FF5AAX004,FF5AAX005,FF5AAX006,FF5AAX007,FF5AAX008,FF5AAX009,FF5AAX010,FF5AAX011,FF5AAX012,FF5AAX013,FF5AAX014,FF5AAX015,FF5AAX016,FF5AAX017,FF5AAX018,FF5AAX019,FF5AAX020,FF5AAX021,FF5AAX022,FF5AAX023,FF5AAX024,FF5AAX025,FF5AAX026,FF5AAX027,FF5AAX028,FF5AAX029,FF5AAX030,FF5ABR001,FF5ABR002,FF5ABR003,FF5ABR004,FF5ABR005,FF5ABR006,FF5ABR007,FF5ABR008,FF5ABR009,FF5ABR010,FF5ABR011,FF5ABR012,FF5ABR013,FF5ABR014,FF5ABR015,FF5ABR016,FF5ABR017,FF5ABR018,FF5ABR019,FF5ABR020,FF5ABR021,FF5ABR022,FF5ABR023,FF5ABR024,FF5ABR025,FF5ABR026,FF5ABR027,FF5ABR028,FF5ABR029,FF5ABR030,FF5ABS001,FF5ABS002,FF5ABS003,FF5ABS004,FF5ABS005,FF5ABS006,FF5ABS007,FF5ABS008,FF5ABS009,FF5ABS010,FF5ABS011,FF5ABS012,FF5ABS013,FF5ABS014,FF5ABS015,FF5ABS016,FF5ABS017,FF5ABS018,FF5ABS019,FF5ABS020,FF5ABS021,FF5ABS022,FF5ABS023,FF5ABS024,FF5ABS025,FF5ABS026,FF5ABS027,FF5ABS028,FF5ABS029,FF5ABS030
"G0100010","1990",,,,,,,"Autauga","001",,"6","5240",,"9999","3","Alabama","01",,"Autauga County",55,234,909,380,501,497,360,2719,1906,311,149,1120,427,120,70,118,225,897,564,580,591,341,3952,2067,307,172,944,322,8,15,5,106,656,318,417,347,176,2366,1740,265,127,1069,407,120,56,52,74,602,449,420,395,262,3300,1821,273,154,826,280,8,15,50,128,253,62,84,150,184,346,156,46,22,47,20,0,14,66,146,284,107,160,196,71,633,224,34,18,111,38,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,8,0,0,0,0,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,5,0,5,0,6,26,0,0,11,0,0,0,0,0,13,0,0,0,5,36,0,0,0,5,0,0,0,5,106,656,313,417,342,176,2360,1724,265,127,1062,407,120,56,52,74,602,449,420,395,262,3270,1821,273,154,821,280,8,15,50,128,253,62,84,150,184,346,156,46,22,47,20,0,14,66,146,271,107,160,196,71,633,224,34,18,111,38,0,0
"G0100030","1990",,,,,,,"Baldwin","003",,"6","5160",,"9999","3","Alabama","01",,"Baldwin County",312,508,2478,1277,1561,1181,1035,8763,5861,662,627,4070,1137,750,285,212,314,2562,1310,1848,1512,1199,11781,6977,844,929,3009,1339,182,98,207,294,1958,1072,1311,965,823,7892,5539,606,610,3968,1046,741,285,104,239,2036,1104,1500,1184,934,10716,6325,772,801,2861,1243,172,98,104,192,489,182,231,215,212,816,251,56,17,64,77,0,0,100,75,477,198,320,322,242,949,580,55,91,132,96,0,0,1,15,31,23,19,1,0,44,61,0,0,25,8,0,0,8,0,49,4,20,6,23,89,64,9,37,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,6,9,0,0,0,0,0,8,0,0,9,8,8,0,8,0,10,0,0,7,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,6,20,35,9,28,16,10,30,34,8,0,22,0,7,8,5,0,37,7,3,5,12,67,90,10,0,31,18,0,0,202,281,1923,1063,1283,949,813,7869,5515,598,610,3946,1046,734,277,99,239,1999,1101,1497,1179,922,10669,6248,770,801,2842,1225,172,98,104,192,489,182,231,215,212,816,251,56,17,64,77,0,0,100,75,477,198,320,322,242,949,575,55,91,120,96,0,0
"G0100050","1990",,,,,,,"Barbour","005",,"6","9999",,"9999","3","Alabama","01",,"Barbour County",216,439,860,364,373,360,381,1918,971,206,94,640,200,102,26,240,476,1172,479,624,522,459,2340,986,222,143,590,271,28,0,57,114,473,198,191,188,146,1254,818,149,87,553,176,95,24,63,92,523,235,382,255,190,1562,741,163,105,506,214,23,0,159,325,387,166,182,172,233,660,153,57,7,76,24,7,2,177,384,649,244,242,267,261,773,230,59,38,84,37,5,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,5,0,0,9,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,57,112,473,198,191,188,146,1254,813,149,87,548,176,89,24,63,92,521,235,382,255,190,1562,741,163,105,506,214,23,0,159,325,386,166,181,172,233,660,153,57,7,76,24,7,2,176,384,649,244,242,267,261,773,230,59,38,84,37,5,0
"G0100070","1990",,,,,,,"Bibb","007",,"6","9999",,"9999","3","Alabama","01",,"Bibb County",62,135,866,377,338,267,161,1755,435,86,25,137,76,33,2,89,110,860,454,510,414,207,1652,575,178,33,116,76,34,2,42,71,767,304,263,177,113,1520,402,86,25,128,76,31,2,51,67,665,355,340,294,167,1464,520,123,33,109,63,34,2,20,64,99,73,75,90,48,235,33,0,0,9,0,2,0,38,43,193,99,168,120,40,188,55,55,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,42,71,767,304,263,177,113,1510,402,86,25,128,76,31,2,51,67,665,355,340,294,167,1464,520,123,33,109,63,34,2,20,64,99,73,75,85,48,235,33,0,0,9,0,2,0,38,43,182,99,165,120,40,188,55,55,0,7,13,0,0
"G0100090","1990",,,,,,,"Blount","009",,"6","1000",,"9999","3","Alabama","01",,"Blount County",113,497,1556,700,747,579,384,4129,1932,348,148,643,165,76,25,160,229,1775,1003,991,760,466,4634,1718,376,223,509,286,46,23,99,479,1539,680,736,570,384,4056,1901,330,148,636,157,76,25,157,225,1715,994,991,736,457,4568,1653,376,212,509,280,46,23,0,10,9,2,11,9,0,59,17,18,0,7,0,0,0,0,0,20,7,0,16,7,60,47,0,3,0,6,0,0,11,0,3,9,0,0,0,14,14,0,0,0,0,0,0,0,0,21,2,0,2,0,6,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,3,0,3,0,0,0,0,0,0,0,8,0,0,0,0,3,8,2,9,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,6,2,0,0,0,0,0,0,0,0,3,10,4,9,0,0,0,2,0,0,0,0,0,0,0,0,4,20,0,0,6,2,10,9,0,0,0,0,0,0,99,477,1537,680,736,570,384,4054,1901,330,148,636,157,76,25,157,225,1711,994,991,736,457,4558,1644,376,212,509,280,46,23,0,10,9,2,11,9,0,59,17,18,0,7,0,0,0,0,0,20,7,0,16,7,60,47,0,3,0,6,0,0
"G0100110","1990",,,,,,,"Bullock","011",,"6","9999",,"9999","3","Alabama","01",,"Bullock County",88,172,529,252,302,233,144,717,359,118,18,152,24,42,33,112,138,569,245,290,169,185,952,349,83,27,264,150,11,0,6,21,147,71,83,71,46,293,207,57,0,88,14,42,33,14,13,100,51,82,31,49,389,165,42,17,112,50,11,0,82,151,376,181,219,162,98,424,152,61,18,64,10,0,0,98,125,469,194,208,138,136,552,184,41,10,152,100,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,21,147,71,83,71,46,293,207,57,0,88,14,34,33,14,13,100,51,82,31,49,389,165,42,17,112,50,11,0,82,151,376,181,219,162,98,418,152,61,18,64,10,0,0,98,125,466,194,208,138,136,552,184,41,10,152,100,0,0
"G0100130","1990",,,,,,,"Butler","013",,"6","9999",,"9999","3","Alabama","01",,"Butler County",184,391,934,433,348,276,217,1756,767,98,112,298,103,84,0,171,208,1186,564,613,523,326,2171,780,225,124,371,182,30,15,33,141,554,281,247,176,116,1334,619,84,84,258,84,84,0,48,66,676,370,396,296,147,1570,585,150,79,316,122,24,5,151,250,380,150,101,100,101,416,148,14,28,40,19,0,0,123,142,510,194,217,227,179,590,191,75,45,55,60,6,10,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,5,0,0,0,0,0,6,0,2,0,7,0,2,0,2,0,0,2,0,0,0,0,0,33,134,547,281,247,176,116,1329,619,84,84,258,84,78,0,46,66,669,370,394,296,147,1570,585,148,79,316,122,24,5,151,250,380,150,101,100,101,416,148,14,28,40,19,0,0,123,142,510,194,217,227,177,590,191,75,45,55,60,6,10
"G0100150","1990",,,,,,,"Calhoun","015",,"6","0450",,"9999","3","Alabama","01",,"Calhoun County",407,812,2939,1694,1595,1366,1122,9774,6515,958,942,3432,1140,543,273,341,623,4264,2191,2660,2008,1611,11937,6582,1178,660,3152,1532,137,57,256,661,2590,1520,1307,969,869,7875,5470,769,799,3077,1075,512,259,238,382,3496,1878,2170,1511,1141,10078,5332,921,552,2674,1334,122,47,151,151,334,166,274,392,253,1854,938,166,99,316,65,18,14,95,232,691,293,459,487,415,1678,1167,233,108,456,193,9,6,0,0,4,0,14,5,0,14,54,7,22,14,0,0,0,0,0,5,11,8,0,0,8,31,2,0,0,0,0,0,0,0,11,0,0,0,0,14,24,8,15,19,0,6,0,8,9,72,9,14,10,49,134,45,22,0,22,5,6,4,0,0,0,8,0,0,0,17,29,8,7,6,0,7,0,0,0,0,0,9,0,6,39,7,0,0,0,0,0,0,0,12,11,17,0,0,0,98,79,16,7,43,0,26,0,0,25,5,0,13,7,6,126,55,0,8,8,0,0,0,256,649,2579,1511,1307,969,869,7794,5420,769,799,3040,1075,493,259,238,357,3491,1878,2166,1511,1141,9991,5290,921,544,2666,1334,122,47,151,151,334,166,274,392,253,1854,938,166,99,316,65,18,14,95,232,691,293,459,480,415,1678,1161,233,108,456,193,9,6
"G0100170","1990",,,,,,,"Chambers","017",,"6","9999",,"9999","3","Alabama","01",,"Chambers County",169,374,1363,732,885,584,441,2915,1438,307,235,762,242,83,66,173,453,1974,867,1308,951,559,3834,1406,391,221,620,290,38,0,52,126,827,522,532,365,326,2110,1209,249,207,653,209,73,47,77,176,1238,622,846,565,319,2747,1025,260,176,519,224,38,0,117,248,536,197,353,219,115,794,221,58,28,104,33,10,19,96,277,728,239,462,386,240,1074,373,131,45,101,66,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,8,0,0,5,0,0,0,6,0,0,0,0,0,0,22,0,0,0,0,0,0,0,52,126,816,522,532,365,326,2110,1209,249,207,653,209,73,47,77,176,1238,622,846,565,319,2731,1025,260,176,519,224,38,0,117,248,536,197,353,219,115,794,221,58,28,104,33,10,19,90,277,728,239,462,386,240,1074,373,131,45,101,66,0,0
"G0100190","1990",,,,,,,"Cherokee","019",,"6","9999",,"9999","3","Alabama","01",,"Cherokee County",149,226,946,421,461,386,246,1882,849,177,76,182,115,62,2,62,142,1158,547,639,391,256,2210,685,150,29,311,176,18,0,126,210,921,410,415,364,228,1742,786,175,69,169,113,62,2,51,120,1109,533,616,358,236,2050,642,148,26,294,158,18,0,23,8,25,11,42,12,18,140,61,2,7,13,2,0,0,11,20,47,14,23,27,20,155,41,2,0,17,17,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,5,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,8,0,11,9,0,0,2,0,0,0,0,2,2,0,0,0,6,0,3,0,0,0,0,0,0,120,210,921,410,415,364,228,1731,777,175,69,167,113,62,2,51,120,1109,533,616,358,230,2050,639,148,26,294,158,18,0,23,8,25,11,42,12,18,140,61,2,7,13,2,0,0,11,20,47,14,23,27,20,155,41,2,0,17,17,0,0
