GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,DI9001,DI9002,DI9003,DI9004,DI9005,DI9006,DI9007,DI9008,DI9009,DI9010
"G0100010","1980","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,"AUTAUGA",22543,2171,4048,3156,87,10,0,0,0,0
"G0100030","1980","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,"BALDWIN",57718,7561,6902,4957,336,92,64,0,90,6
"G0100050","1980","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,"BARBOUR",11476,2046,5431,5493,0,0,54,6,0,0
"G0100070","1980","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,"BIBB",10339,1573,1883,1717,0,0,0,0,0,0
"G0100090","1980","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,"BLOUNT",29198,6270,391,255,98,0,0,0,0,0
"G0100110","1980","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,"BULLOCK",0,0,3828,3301,0,0,0,0,0,0
"G0100130","1980","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,"BUTLER",11269,1822,4324,3980,0,0,0,0,0,0
"G0100150","1980","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,"CALHOUN",80597,11145,11997,6953,151,62,431,18,211,53
"G0100170","1980","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,"CHAMBERS",22525,2529,9402,4402,0,0,0,0,0,0
"G0100190","1980","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,"CHEROKEE",13852,3229,1305,240,0,0,0,0,0,0
"G0100210","1980","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,"CHILTON",22320,4464,2034,1528,0,0,2,39,0,0
"G0100230","1980","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,"CHOCTAW",7618,1862,3881,3417,0,0,0,0,0,0
"G0100250","1980","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,"CLARKE",13685,1872,6362,5308,64,23,0,0,0,0
"G0100270","1980","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,"CLAY",9388,2020,0,0,0,0,0,0,0,0
"G0100290","1980","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,"CLEBURNE",9999,1874,428,219,0,0,0,0,0,0
"G0100310","1980","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,"COFFEE",27664,3781,4038,2435,115,5,126,25,73,0
"G0100330","1980","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,"COLBERT",39571,5400,6613,2462,63,0,0,0,0,0
"G0100350","1980","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,"CONECUH",7678,1590,0,0,0,0,0,0,0,0
"G0100370","1980","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,"COOSA",5859,1537,0,0,0,0,0,0,0,0
"G0100390","1980","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,"COVINGTON",26098,5510,3005,1751,0,0,104,2,0,0
"G0100410","1980","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,"CRENSHAW",7978,2306,1808,1842,0,0,0,0,0,0
"G0100430","1980","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,"CULLMAN",49817,10569,462,86,74,29,0,0,0,0
"G0100450","1980","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,"DALE",31798,4311,4121,2851,315,18,405,35,158,50
"G0100470","1980","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,"DALLAS",21921,2183,13997,14960,0,0,28,22,0,0
"G0100490","1980","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,"DE KALB",42164,9991,582,380,120,0,39,2,38,0
"G0100510","1980","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,"ELMORE",29290,3389,4680,4166,0,0,44,10,0,0
"G0100530","1980","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,"ESCAMBIA",22037,3372,6197,4224,810,145,0,0,0,0
"G0100550","1980","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,"ETOWAH",75686,11908,9346,4242,259,227,85,24,40,47
"G0100570","1980","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,"FAYETTE",13694,2585,1591,756,0,0,0,0,0,0
"G0100590","1980","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,"FRANKLIN",22332,4401,880,394,23,7,0,0,0,0
"G0100610","1980","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,"GENEVA",17420,3477,1566,1506,77,46,0,0,0,0
"G0100630","1980","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,"GREENE",2152,216,3781,4772,0,0,0,0,0,0
"G0100650","1980","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,"HALE",5003,587,4262,5467,0,0,0,0,0,0
"G0100670","1980","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,"HENRY",8332,1148,3442,2319,0,0,0,0,0,0
"G0100690","1980","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,"HOUSTON",51501,5683,9713,6671,182,60,218,113,49,11
"G0100710","1980","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,"JACKSON",41253,7482,1503,562,270,0,0,0,0,0
"G0100730","1980","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,,,,"JEFFERSON",405103,32912,153406,68091,607,123,1632,301,426,93
"G0100750","1980","3","6","Alabama","01",,"Lamar","075",,,,,,,,,,,,"LAMAR",12077,2197,1198,756,0,0,0,0,0,0
"G0100770","1980","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,,,,"LAUDERDALE",62218,8597,4584,2914,141,103,180,5,85,14
"G0100790","1980","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,,,,"LAWRENCE",19939,4927,2942,2116,0,0,0,0,0,0
"G0100810","1980","3","6","Alabama","01",,"Lee","081",,,,,,,,,,,,"LEE",42521,9885,11608,6787,103,15,282,98,53,52
"G0100830","1980","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,,,,"LIMESTONE",33169,5627,4452,2073,0,0,110,2,0,0
"G0100850","1980","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,,,,"LOWNDES",0,0,4294,5613,0,0,0,0,0,0
"G0100870","1980","3","6","Alabama","01",,"Macon","087",,,,,,,,,,,,"MACON",3216,499,12911,7336,0,0,36,36,11,88
"G0100890","1980","3","6","Alabama","01","3440","Madison","089",,,,,,,,,,,,"MADISON",138847,14431,24058,11537,557,105,1291,210,342,219
"G0100910","1980","3","6","Alabama","01",,"Marengo","091",,,,,,,,,,,,"MARENGO",0,0,6105,7121,0,0,0,0,0,0
"G0100930","1980","3","6","Alabama","01",,"Marion","093",,,,,,,,,,,,"MARION",24405,4552,535,182,0,0,19,49,0,0
"G0100950","1980","3","6","Alabama","01","3440","Marshall","095",,,,,,,,,,,,"MARSHALL",53343,10472,738,231,47,21,57,22,27,7
"G0100970","1980","3","6","Alabama","01","5160","Mobile","097",,,,,,,,,,,,"MOBILE",218535,23628,70188,43286,997,302,1190,325,401,85
