GISJOIN,YEAR,COUNTY,COUNTYA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,ANPSADPI,EKT001,EKT002,EKT003,EKT004,EKT005,EKT006,EKT007,EKT008,EKT009,EKT010,EKT011,EKT012,EKT013,EKT014,EKT015,EKT016,EKT017,EKT018,EKT019,EKT020
"G0100010","1990","Autauga","001","6","5240",,"9999","3","Alabama","01","Autauga County",24316,4069,29,89,0,140,4,0,0,38,2587,2688,3,0,0,0,46,0,0,0
"G0100030","1990","Baldwin","003","6","5160",,"9999","3","Alabama","01","Baldwin County",74514,7245,734,102,9,539,25,9,16,87,8546,5072,100,51,0,144,0,0,0,34
"G0100050","1990","Barbour","005","6","9999",,"9999","3","Alabama","01","Barbour County",12052,6358,36,55,0,20,2,18,0,0,1723,4502,0,0,0,14,5,0,0,0
"G0100070","1990","Bibb","007","6","9999",,"9999","3","Alabama","01","Bibb County",11016,1799,2,0,0,22,11,0,0,0,1865,1578,0,2,0,0,9,0,0,0
"G0100090","1990","Blount","009","6","1000",,"9999","3","Alabama","01","Blount County",32205,438,104,48,3,69,0,0,0,119,5641,146,59,0,0,15,0,0,0,77
"G0100110","1990","Bullock","011","6","9999",,"9999","3","Alabama","01","Bullock County",2410,4098,0,29,0,18,9,0,0,0,306,3467,0,0,0,0,3,0,0,0
"G0100130","1990","Butler","013","6","9999",,"9999","3","Alabama","01","Butler County",10667,4100,12,4,0,38,0,0,0,12,2093,4630,9,12,0,63,8,0,0,0
"G0100150","1990","Calhoun","015","6","0450",,"9999","3","Alabama","01","Calhoun County",78018,13603,269,709,8,740,8,8,23,210,11014,6247,8,73,0,22,13,0,0,8
"G0100170","1990","Chambers","017","6","9999",,"9999","3","Alabama","01","Chambers County",20918,8505,43,6,0,66,9,0,0,28,2255,4581,0,0,7,6,0,0,0,0
"G0100190","1990","Cherokee","019","6","9999",,"9999","3","Alabama","01","Cherokee County",14968,971,22,12,0,47,0,0,0,20,3088,306,8,0,0,22,0,0,0,0
"G0100210","1990","Chilton","021","6","9999",,"9999","3","Alabama","01","Chilton County",24398,2100,38,9,9,59,0,0,0,5,3989,1483,18,0,0,0,0,0,0,5
"G0100230","1990","Choctaw","023","6","9999",,"9999","3","Alabama","01","Choctaw County",7430,3630,7,3,3,41,3,0,0,3,1394,3379,0,1,0,12,23,0,0,0
"G0100250","1990","Clarke","025","6","9999",,"9999","3","Alabama","01","Clarke County",13662,6169,12,34,7,46,0,0,0,6,1539,5362,0,8,21,21,9,0,0,0
"G0100270","1990","Clay","027","6","9999",,"9999","3","Alabama","01","Clay County",9237,1472,2,9,2,27,0,0,0,4,1616,635,9,12,0,0,0,0,0,0
"G0100290","1990","Cleburne","029","6","9999",,"9999","3","Alabama","01","Cleburne County",10337,319,47,14,0,0,0,0,0,0,1656,273,0,0,0,7,0,0,0,0
"G0100310","1990","Coffee","031","6","9999",,"9999","3","Alabama","01","Coffee County",28295,4460,167,286,5,279,6,7,0,95,3759,2327,20,40,0,34,0,0,0,0
"G0100330","1990","Colbert","033","6","2650",,"9999","3","Alabama","01","Colbert County",37402,6115,168,93,0,73,0,9,0,8,4937,2451,30,8,0,8,0,0,0,43
"G0100350","1990","Conecuh","035","6","9999",,"9999","3","Alabama","01","Conecuh County",6736,3041,0,10,0,7,0,0,0,0,1275,2820,10,2,0,15,23,0,0,0
"G0100370","1990","Coosa","037","6","9999",,"9999","3","Alabama","01","Coosa County",6210,2689,19,0,0,0,0,0,0,0,952,1011,21,0,0,0,0,0,0,0
"G0100390","1990","Covington","039","6","9999",,"9999","3","Alabama","01","Covington County",25501,2577,35,29,0,37,0,0,0,12,5647,2181,68,25,0,25,0,0,0,25
"G0100410","1990","Crenshaw","041","6","9999",,"9999","3","Alabama","01","Crenshaw County",8244,1923,12,0,0,11,0,0,0,10,1653,1606,0,0,0,12,0,0,8,0
