GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,DJA001,DJA002
"G0100010","1980","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,"AUTAUGA",380,9
"G0100030","1980","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,"BALDWIN",459,196
"G0100050","1980","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,"BARBOUR",282,120
"G0100070","1980","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,"BIBB",66,154
"G0100090","1980","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,"BLOUNT",171,74
"G0100110","1980","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,"BULLOCK",68,77
"G0100130","1980","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,"BUTLER",118,148
"G0100150","1980","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,"CALHOUN",814,259
"G0100170","1980","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,"CHAMBERS",146,65
"G0100190","1980","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,"CHEROKEE",99,11
"G0100210","1980","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,"CHILTON",87,95
"G0100230","1980","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,"CHOCTAW",107,86
"G0100250","1980","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,"CLARKE",156,148
"G0100270","1980","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,"CLAY",114,7
"G0100290","1980","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,"CLEBURNE",0,0
"G0100310","1980","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,"COFFEE",313,78
"G0100330","1980","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,"COLBERT",123,60
"G0100350","1980","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,"CONECUH",163,25
"G0100370","1980","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,"COOSA",28,15
"G0100390","1980","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,"COVINGTON",180,121
"G0100410","1980","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,"CRENSHAW",19,15
"G0100430","1980","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,"CULLMAN",268,40
"G0100450","1980","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,"DALE",729,92
"G0100470","1980","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,"DALLAS",354,233
"G0100490","1980","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,"DE KALB",258,105
"G0100510","1980","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,"ELMORE",232,184
"G0100530","1980","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,"ESCAMBIA",130,106
"G0100550","1980","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,"ETOWAH",275,147
"G0100570","1980","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,"FAYETTE",69,30
"G0100590","1980","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,"FRANKLIN",61,51
"G0100610","1980","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,"GENEVA",184,100
"G0100630","1980","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,"GREENE",151,50
"G0100650","1980","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,"HALE",198,148
"G0100670","1980","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,"HENRY",110,121
"G0100690","1980","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,"HOUSTON",354,222
"G0100710","1980","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,"JACKSON",169,94
"G0100730","1980","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,,,,"JEFFERSON",3472,1310
"G0100750","1980","3","6","Alabama","01",,"Lamar","075",,,,,,,,,,,,"LAMAR",74,12
"G0100770","1980","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,,,,"LAUDERDALE",313,157
"G0100790","1980","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,,,,"LAWRENCE",144,21
"G0100810","1980","3","6","Alabama","01",,"Lee","081",,,,,,,,,,,,"LEE",275,169
"G0100830","1980","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,,,,"LIMESTONE",96,121
"G0100850","1980","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,,,,"LOWNDES",129,87
"G0100870","1980","3","6","Alabama","01",,"Macon","087",,,,,,,,,,,,"MACON",63,194
"G0100890","1980","3","6","Alabama","01","3440","Madison","089",,,,,,,,,,,,"MADISON",1505,462
"G0100910","1980","3","6","Alabama","01",,"Marengo","091",,,,,,,,,,,,"MARENGO",263,208
"G0100930","1980","3","6","Alabama","01",,"Marion","093",,,,,,,,,,,,"MARION",192,18
"G0100950","1980","3","6","Alabama","01","3440","Marshall","095",,,,,,,,,,,,"MARSHALL",272,178
"G0100970","1980","3","6","Alabama","01","5160","Mobile","097",,,,,,,,,,,,"MOBILE",3013,789
"G0100990","1980","3","6","Alabama","01",,"Monroe","099",,,,,,,,,,,,"MONROE",41,137
"G0101010","1980","3","6","Alabama","01","5240","Montgomery","101",,,,,,,,,,,,"MONTGOMERY",1390,394
"G0101030","1980","3","6","Alabama","01",,"Morgan","103",,,,,,,,,,,,"MORGAN",452,134
"G0101050","1980","3","6","Alabama","01",,"Perry","105",,,,,,,,,,,,"PERRY",80,176
"G0101070","1980","3","6","Alabama","01",,"Pickens","107",,,,,,,,,,,,"PICKENS",118,31
"G0101090","1980","3","6","Alabama","01",,"Pike","109",,,,,,,,,,,,"PIKE",99,111
"G0101110","1980","3","6","Alabama","01",,"Randolph","111",,,,,,,,,,,,"RANDOLPH",116,56
