GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E34001,E34002,E34003,E34004,E34005,E34006,E34007,E34008,E34009,E34010,E34011,E34012,E34013,E34014,E34015,E34016,E34017,E34018,E34019,E34020,E34021,E34022,E34023,E34024,E34025,E34026,E34027,E34028,E34029,E34030,E34031,E34032,E34033,E34034,E34035,E35001,E35002,E35003,E35004,E35005,E35006,E35007
"G0100010","1990",,,,,,,,,,"Autauga","001",,"6","5240",,"9999","3","Alabama","01",,,,,"Autauga County",1495,2784,5666,3561,819,1895,886,927,1014,979,380,120,158,72,0,3,20,5,0,0,4,16,8,0,17,0,7,0,0,5,6,10,0,4,0,13,15,42,26,0,16,0
"G0100030","1990",,,,,,,,,,"Baldwin","003",,"6","5160",,"9999","3","Alabama","01",,,,,"Baldwin County",4838,8893,18608,11864,2789,6829,3585,1437,1922,1765,831,219,196,173,104,96,133,125,46,33,8,0,8,13,8,8,21,25,7,4,25,10,0,0,0,103,90,97,124,18,53,33
"G0100050","1990",,,,,,,,,,"Barbour","005",,"6","9999",,"9999","3","Alabama","01",,,,,"Barbour County",1322,1785,2816,1559,504,1059,532,2081,1767,1433,383,161,160,75,0,10,0,15,0,11,0,0,0,9,0,0,0,20,0,0,0,0,0,0,0,6,1,0,5,0,9,6
"G0100070","1990",,,,,,,,,,"Bibb","007",,"6","9999",,"9999","3","Alabama","01",,,,,"Bibb County",1663,2013,2984,922,267,237,208,457,713,423,88,55,16,15,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,10,0,0,0,0
"G0100090","1990",,,,,,,,,,"Blount","009",,"6","1000",,"9999","3","Alabama","01",,,,,"Blount County",4214,5548,8624,3554,1066,1145,607,39,52,119,64,21,7,6,35,13,20,32,0,0,0,9,0,0,0,8,0,8,33,17,0,0,0,0,0,41,17,12,9,0,0,0
"G0100110","1990",,,,,,,,,,"Bullock","011",,"6","9999",,"9999","3","Alabama","01",,,,,"Bullock County",301,484,682,372,116,200,150,1301,1336,976,336,130,216,110,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,8
"G0100130","1990",,,,,,,,,,"Butler","013",,"6","9999",,"9999","3","Alabama","01",,,,,"Butler County",1518,2029,2904,1204,397,574,319,1556,1269,1006,339,162,95,95,0,2,13,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,23,4,5,0,2,0,6
"G0100150","1990",,,,,,,,,,"Calhoun","015",,"6","0450",,"9999","3","Alabama","01",,,,,"Calhoun County",7623,11365,17953,10802,3041,5751,3349,1654,2739,3532,2105,606,772,305,9,38,22,85,31,14,0,100,82,148,69,45,41,21,0,23,56,36,15,6,7,53,43,224,134,31,51,26
"G0100170","1990",,,,,,,,,,"Chambers","017",,"6","9999",,"9999","3","Alabama","01",,,,,"Chambers County",2496,4097,4857,2234,892,1172,591,2002,2211,1868,594,262,205,128,8,13,14,8,0,0,0,0,6,0,0,0,0,0,0,0,10,8,0,5,0,17,0,26,8,0,5,0
"G0100190","1990",,,,,,,,,,"Cherokee","019",,"6","9999",,"9999","3","Alabama","01",,,,,"Cherokee County",2537,3160,3792,1428,418,463,353,134,167,295,102,11,30,19,8,8,5,4,0,0,1,0,2,0,0,3,0,0,4,10,0,0,0,0,0,10,16,11,12,0,2,0
