"","year","race","val"
"1",1980,"All",0.177084183497297
"2",1980,"White,
non-Hispanic",0.266124282138124
"3",1980,"Black",0.080884554230173
"4",1980,"Hispanic,
any race",0.171588685287315
"5",1990,"All",0.224381689148214
"6",1990,"White,
non-Hispanic",0.366095567674458
"7",1990,"Black",0.115648537567378
"8",1990,"Hispanic,
any race",0.186867722847872
"9",2000,"All",0.257535732346757
"10",2000,"White,
non-Hispanic",0.469230104055573
"11",2000,"Black",0.134351245372297
"12",2000,"Hispanic,
any race",0.270673617499744
"13",2010,"All",0.331421968342563
"14",2010,"White,
non-Hispanic",0.604558819833631
"15",2010,"Black",0.154407067512192
"16",2010,"Hispanic,
any race",0.29653248306098
"17",2016,"All",0.384045160002178
"18",2016,"White,
non-Hispanic",0.674891703111074
"19",2016,"Black",0.194434469204803
"20",2016,"Hispanic,
any race",0.373396998635743
"21",2021,"Black",0.230742852532207
"22",2021,"White,
non-Hispanic",0.685210676876089
"23",2021,"Hispanic,
any race",0.438351280039934
