UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,999,329484123,162256202,167227921,124056185,126253539,21335937,23195175,2160174,2132816,9570705,10441573,428168,415525,4705033,4789293,128253363,130503529,23473797,25414280,3526455,3562937,11322405,12189369,839474,830656,131333667,136837577,97035671,99737719,19808567,21618774,1195604,1236734,9248241,10118956,309339,304168,3736245,3821226,100368385,103126597,21492336,23375930,2160895,2268461,10731396,11598158,630569,630041,30922535,30390344,27020514,26515820,1527370,1576401,964570,896082,322464,322617,118829,111357,968788,968067,27884978,27376932,1981461,2038350,1365560,1294476,591009,591211,208905,200615
R,7,2020,0,3735010,1908141,1826869,1327880,1269548,300515,290531,35782,34336,111314,105516,7080,6711,125570,120227,1443461,1380193,370325,357470,58997,56616,157529,149648,15609,14834,1413389,1351240,924935,881999,265722,257009,14338,13816,103547,98106,4349,4118,100498,96192,1017966,971022,322449,311390,29199,28090,141948,134766,10579,10055,494752,475629,402945,387549,34793,33522,21444,20520,7767,7410,2731,2593,25072,24035,425495,409171,47876,46080,29798,28526,15581,14882,5030,4779
R,7,2020,1,3773884,1926654,1847230,1341117,1282312,302680,295574,36105,34718,114773,108313,7245,6808,124734,119505,1455811,1392198,371728,361914,59361,57094,160846,152216,15768,14891,1425335,1362764,932395,886871,267470,261391,14609,14114,106829,100810,4425,4177,99607,95401,1024489,975078,323394,315153,29485,28426,145093,137233,10663,10086,501319,484466,408722,395441,35210,34183,21496,20604,7944,7503,2820,2631,25127,24104,431322,417120,48334,46761,29876,28668,15753,14983,5105,4805
R,7,2020,2,3853025,1968545,1884480,1368416,1306842,308595,301323,36701,34787,120820,113356,7294,6929,126719,121243,1484924,1418302,378378,368480,60341,57472,167899,158035,16017,15168,1461263,1395119,953204,905867,274146,267859,14613,14112,113144,105945,4587,4317,101569,97019,1047082,995522,330868,322378,29788,28683,152438,143153,11016,10368,507282,489361,415212,400975,34449,33464,22088,20675,7676,7411,2707,2612,25150,24224,437842,422780,47510,46102,30553,28789,15461,14882,5001,4800
R,7,2020,3,3921526,2004835,1916691,1398524,1333431,308318,300499,35786,34806,127346,119464,7443,7066,127418,121425,1515557,1445029,377486,367188,59815,57833,175452,164473,16396,15419,1489737,1419721,973042,923402,274463,267549,15644,15040,119656,112139,4772,4447,102160,97144,1067326,1013140,330544,321642,31206,29892,159924,149634,11423,10592,515098,496970,425482,410029,33855,32950,20142,19766,7690,7325,2671,2619,25258,24281,448231,431889,46942,45546,28609,27941,15528,14839,4973,4827
R,7,2020,4,4017847,2052982,1964865,1447807,1379897,308765,302778,35407,34049,125202,118076,7309,7016,128492,123049,1565918,1493032,378306,369909,60010,57613,173486,163812,16309,15537,1525378,1457545,1008618,957587,275511,270511,16156,15555,117503,110823,4631,4435,102959,98634,1103732,1048734,331987,325060,32118,30862,157798,148994,11283,10730,527604,507320,439189,422310,33254,32267,19251,18494,7699,7253,2678,2581,25533,24415,462186,444298,46319,44849,27892,26751,15688,14818,5026,4807
R,7,2020,5,4054336,2072391,1981945,1458708,1390826,314942,306732,35188,34120,127998,120248,7263,7013,128292,123006,1576633,1503909,384425,373779,59896,57756,176006,165965,16252,15508,1545113,1473246,1019173,967156,281163,273986,16507,15807,120617,113150,4649,4460,103004,98687,1114314,1058330,337581,328475,32649,31185,160840,151384,11341,10774,527278,508699,439535,423670,33779,32746,18681,18313,7381,7098,2614,2553,25288,24319,462319,445579,46844,45304,27247,26571,15166,14581,4911,4734
R,7,2020,6,4040169,2067201,1972968,1459224,1386430,314800,306430,35391,34154,124083,117640,6949,6695,126754,121619,1575770,1498221,382984,372868,59988,57671,171730,162555,15970,15214,1543674,1470458,1022684,967753,280872,273796,16847,16135,117036,110929,4513,4331,101722,97514,1116701,1057836,336186,327793,32947,31465,156923,148427,11185,10635,523527,502510,436540,418677,33928,32634,18544,18019,7047,6711,2436,2364,25032,24105,459069,440385,46798,45075,27041,26206,14807,14128,4785,4579
R,7,2020,7,4029753,2059255,1970498,1452270,1385695,313147,305084,35090,33882,126430,119283,6985,6657,125333,119897,1567359,1495728,380112,369979,59536,57384,173956,164029,16096,15184,1538877,1468262,1016926,965913,280207,273176,17029,16272,119580,112561,4590,4307,100545,96033,1109706,1054468,334485,325794,33040,31638,159398,149947,11322,10562,520378,502236,435344,419782,32940,31908,18061,17610,6850,6722,2395,2350,24788,23864,457653,441260,45627,44185,26496,25746,14558,14082,4774,4622
R,7,2020,8,4034785,2061955,1972830,1460840,1393834,313588,304643,36065,34848,121163,114983,6732,6475,123567,118047,1574294,1502213,379831,368358,60556,58269,167523,158884,15631,14951,1537085,1466522,1021356,969651,281036,273366,17061,16439,114451,108510,4353,4177,98828,94379,1112537,1056735,334592,324947,33053,31714,153220,145134,10916,10397,524870,506308,439484,424183,32552,31277,19004,18409,6712,6473,2379,2298,24739,23668,461757,445478,45239,43411,27503,26555,14303,13750,4715,4554
