"","CensusYear","Population"
"1",2013,11190
"2",2014,11290
"3",2012,25013
"4",2013,25614
"5",2018,6543
"6",2019,6405
"7",2011,12197
"8",2012,12119
"9",2018,4496
"10",2019,4420
"11",2011,5971
"12",2012,5921
"13",2017,28015
"14",2018,28519
"15",2013,122404
"16",2014,121912
"17",2010,47947
"18",2013,220
"19",2014,254
"20",2019,2895
"21",2015,8295
"22",2016,8287
"23",2010,8508
"24",2011,200778
"25",2017,4834
"26",2018,4763
"27",2011,8904
"28",2012,8770
"29",2018,9135
"30",2019,9104
"31",2015,6483
"32",2010,3441
"33",2011,23460
"34",2016,15867
"35",2017,15866
"36",2012,112775
"37",2013,113058
"38",2017,5130
"39",2018,5176
"40",2012,58499
"41",2017,13250
"42",2018,13115
"43",2012,1773
"44",2013,1751
"45",2018,18935
"46",2019,18778
"47",2014,7811
"48",2015,8090
"49",2010,7363
"50",2015,16118
"51",2016,16050
"52",2010,205747
"53",2013,57717
"54",2010,11163
"55",2016,5764
"56",2017,5706
"57",2011,6926
"58",2016,12119
"59",2017,12070
"60",2012,4719
"61",2013,4643
"62",2018,5537
"63",2012,25372
"64",2013,25782
"65",2018,119938
"66",2019,119131
"67",2015,49637
"68",2010,1737
"69",2011,177
"70",2018,2919
"71",2011,8548
"72",2016,7976
"73",2017,7844
"74",2011,10267
"75",2012,10213
"76",2017,205494
"77",2013,8674
"78",2014,8632
"79",2010,9592
"80",2013,6504
"81",2014,6536
"82",2019,3390
"83",2012,23523
"84",2013,23519
"85",2010,16353
"86",2012,4728
"87",2013,4692
"88",2011,112576
"89",2014,5165
"90",2015,5145
"91",2011,57712
"92",2014,12975
"93",2015,13242
"94",2011,1757
"95",2016,19233
"96",2017,19153
"97",2011,6830
"98",2012,7204
"99",2019,6815
"100",2015,12518
"101",2010,16424
"102",2011,216518
"103",2016,58213
"104",2017,57852
"105",2011,4770
"106",2011,8224
"107",2017,11194
"108",2011,5913
"109",2012,5845
"110",2017,28106
"111",2018,28925
"112",2012,6837
"113",2018,11949
"114",2011,4623
"115",2016,5751
"116",2017,5664
"117",2014,26363
"118",2015,26745
"119",2010,119901
"120",2019,51880
"121",2012,1686
"122",2013,1657
"123",2018,279
"124",2019,273
"125",2014,3176
"126",2015,3116
"127",2014,8402
"128",2018,7740
"129",2019,7622
"130",2014,10075
"131",2015,9864
"132",2018,205225
"133",2019,205346
"134",2011,5228
"135",2015,8544
"136",2011,6508
"137",2012,6513
"138",2017,3381
"139",2018,3415
"140",2015,23553
"141",2016,23435
"142",2014,4608
"143",2015,4588
"144",2018,116435
"145",2019,116992
"146",2015,61406
"147",2019,12968
"148",2015,1805
"149",2016,1790
"150",2013,7598
"151",2017,7104
"152",2018,6988
"153",2011,12977
"154",2012,12920
"155",2017,16058
"156",2018,15833
"157",2012,221587
"158",2018,57611
"159",2010,8272
"160",2012,42020
"161",2018,11175
"162",2019,11009
"163",2018,5707
"164",2019,5721
"165",2011,24441
"166",2017,6671
"167",2014,5756
"168",2015,5762
"169",2010,24295
"170",2011,121481
"171",2016,50421
"172",2017,51245
"173",2014,1599
"174",2015,1624
"175",2010,119
"176",2011,3199
"177",2012,3225
"178",2017,8213
"179",2018,8186
"180",2011,8380
"181",2012,8290
"182",2018,9779
"183",2014,5059
"184",2015,4943
"185",2018,8208
"186",2014,9343
"187",2018,6372
"188",2011,3424
"189",2017,23026
"190",2018,22770
"191",2015,15994
"192",2017,4533
"193",2018,4505
"194",2014,113521
"195",2016,5166
"196",2010,56885
"197",2013,12816
"198",2019,1762
"199",2011,19157
"200",2012,19219
"201",2017,8698
"202",2018,9119
"203",2012,7586
"204",2013,7420
"205",2010,13092
"206",2015,231490
"207",2016,231936
"208",2010,55995
"209",2014,4626
"210",2014,7863
"211",2015,7823
"212",2010,41998
"213",2018,3354
"214",2019,3325
"215",2011,11186
"216",2010,23793
"217",2010,7114
"218",2013,12076
"219",2017,4457
"220",2011,24658
"221",2017,120893
"222",2013,48631
"223",2014,49017
"224",2019,1574
"225",2012,208
"226",2016,3010
"227",2017,3004
"228",2012,8526
"229",2013,8441
"230",2013,10115
"231",2015,204831
"232",2016,205768
"233",2012,5137
"234",2013,5075
"235",2016,8478
"236",2017,8291
"237",2011,9503
"238",2016,6491
"239",2017,6416
"240",2012,3439
"241",2013,3422
"242",2019,22507
"243",2013,16174
"244",2014,16032
"245",2010,4832
"246",2010,112422
"247",2019,5100
"248",2013,59499
"249",2014,60414
"250",2010,12699
"251",2015,19305
"252",2019,9756
"253",2011,7301
"254",2016,12309
"255",2017,12136
"256",2012,16199
"257",2013,16120
"258",2018,231360
"259",2019,230418
"260",2014,58026
"261",2015,58235
"262",2010,4705
"263",2017,7863
"264",2018,7735
"265",2011,42030
"266",2015,3413
"267",2016,7355
"268",2015,11313
"269",2016,11247
"270",2015,5783
"271",2019,29829
"272",2013,6850
"273",2014,6847
"274",2019,11832
"275",2014,4675
"276",2019,5458
"277",2016,27229
"278",2011,48192
"279",2012,48221
"280",2017,1565
"281",2018,1566
"282",2015,281
"283",2016,248
"284",2013,3194
"285",2019,8074
"286",2013,8288
"287",2014,8289
"288",2010,10405
"289",2013,203694
"290",2014,204888
"291",2010,5327
"292",2017,9239
"293",2014,3387
"294",2015,3352
"295",2010,23396
"296",2018,15746
"297",2019,15568
"298",2016,4567
"299",2015,114111
"300",2016,115311
"301",2011,5386
"302",2012,5258
"303",2011,12776
"304",2012,12735
"305",2017,1769
"306",2018,1774
"307",2013,19363
"308",2014,19256
"309",2015,7219
"310",2016,7173
"311",2011,16282
"312",2017,231943
"313",2012,4740
"314",2013,4609
"315",2016,7818
"316",2013,3540
"317",2014,3476
"318",2014,7416
"319",2015,7361
"320",2010,4009
"321",2013,5818
"322",2014,5808
"323",2014,26297
"324",2015,26878
"325",2015,6796
"326",2016,6701
"327",2010,12339
"328",2010,4607
"329",2013,5875
"330",2019,28805
"331",2012,122405
"332",2018,51534
"333",2011,1708
"334",2017,255
"335",2015,8153
"336",2019,9682
"337",2012,202466
"338",2019,4672
"339",2010,9055
"340",2012,9388
"341",2013,9443
"342",2019,6356
"343",2016,3369
"344",2011,16286
"345",2012,16221
"346",2019,4428
"347",2013,5173
"348",2018,63909
"349",2019,64672
"350",2016,13264
"351",2010,1759
"352",2016,8679
"353",2013,12760
"354",2014,12673
"355",2019,15639
"356",2013,226496
"357",2014,228964
"358",2019,57331
"359",2015,4686
