GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GTV001,GTV002,GTV003,GTV004,GTV005,GTV006,GTV007,GTV008,GTV009,GTV010,GTV011,GTV012,GTV013,GTV014,GTY001,GTY002
"G0100010","2000","3","6","Alabama","01","Autauga","001",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Autauga County",2428,32328,2133,5258,18,289,76,189,0,0,24,109,59,466,122,272
"G0100030","2000","3","6","Alabama","01","Baldwin","003",,,,,,,,,,,,,"5160","9999","9999",,,,,,,,"Baldwin County",9766,111073,3616,9899,54,722,118,408,0,41,239,516,225,1471,501,1824
"G0100050","2000","3","6","Alabama","01","Barbour","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Barbour County",1808,12062,5032,6814,40,27,0,30,0,0,134,138,18,136,240,228
"G0100070","2000","3","6","Alabama","01","Bibb","007",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bibb County",2249,13363,1803,2171,4,57,0,12,0,0,10,64,25,94,30,151
"G0100090","2000","3","6","Alabama","01","Blount","009",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"Blount County",5340,42244,99,464,35,147,18,96,7,6,348,1143,83,469,732,1881
"G0100110","2000","3","6","Alabama","01","Bullock","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bullock County",273,2263,3132,4388,0,32,0,10,0,0,0,9,0,62,61,274
"G0100130","2000","3","6","Alabama","01","Butler","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Butler County",1409,10840,3755,5021,0,7,10,44,0,0,4,6,27,20,65,53
"G0100150","2000","3","6","Alabama","01","Calhoun","015",,,,,,,,,,,,,"0450","9999","9999",,,,,,,,"Calhoun County",11024,76316,6111,13545,138,294,66,587,0,21,126,471,230,901,401,1482
"G0100170","2000","3","6","Alabama","01","Chambers","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chambers County",2066,19863,3996,9780,40,40,0,10,0,0,14,50,18,129,43,223
"G0100190","2000","3","6","Alabama","01","Cherokee","019",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cherokee County",3302,18715,243,1005,28,60,7,27,0,0,56,27,36,95,74,148
"G0100210","2000","3","6","Alabama","01","Chilton","021",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chilton County",4397,29516,1430,2716,60,65,0,58,0,13,219,270,46,389,423,586
"G0100230","2000","3","6","Alabama","01","Choctaw","023",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Choctaw County",1192,7541,2584,4237,4,21,2,13,0,0,34,21,42,47,7,137
"G0100250","2000","3","6","Alabama","01","Clarke","025",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clarke County",1363,14082,4771,7027,0,51,44,44,26,0,1,16,2,52,54,119
"G0100270","2000","3","6","Alabama","01","Clay","027",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Clay County",1527,9907,822,1487,0,24,0,4,0,0,12,68,31,99,59,148
"G0100290","2000","3","6","Alabama","01","Cleburne","029",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cleburne County",1716,11472,161,336,11,41,0,0,0,0,33,53,32,149,33,127
"G0100310","2000","3","6","Alabama","01","Coffee","031",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coffee County",3280,30108,2774,4922,69,187,19,359,0,8,59,236,84,662,147,928
"G0100330","2000","3","6","Alabama","01","Colbert","033",,,,,,,,,,,,,"2650","9999","9999",,,,,,,,"Colbert County",4967,39442,2476,6665,11,109,1,123,0,51,21,134,116,268,148,373
"G0100350","2000","3","6","Alabama","01","Conecuh","035",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Conecuh County",1226,6510,2444,3689,6,8,0,18,0,0,6,26,37,17,26,40
"G0100370","2000","3","6","Alabama","01","Coosa","037",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Coosa County",690,6954,1058,2982,3,49,0,0,0,0,0,0,9,43,17,23
"G0100390","2000","3","6","Alabama","01","Covington","039",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Covington County",5098,26874,1591,2838,66,140,0,52,2,10,46,89,35,222,147,228
"G0100410","2000","3","6","Alabama","01","Crenshaw","041",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Crenshaw County",1643,8314,1292,2036,6,12,0,0,0,0,9,45,14,37,16,91
