"","age","place","population","est2000"
"1","Under 5 years","Jefferson",28335,30226
"2","5 to 9","Jefferson",26024,31811
"3","10 to 14","Jefferson",26033,32657
"4","15 to 19","Jefferson",23440,32436
"5","20 to 24","Jefferson",24269,29793
"6","25 to 29","Jefferson",31698,31838
"7","30 to 34","Jefferson",31205,32713
"8","35 to 39","Jefferson",29046,36367
"9","40 to 44","Jefferson",25276,36834
"10","45 to 49","Jefferson",25834,34166
"11","50 to 54","Jefferson",28284,30658
"12","55 to 59","Jefferson",30770,23741
"13","60 to 64","Jefferson",29507,17911
"14","65 to 69","Jefferson",24751,15034
"15","70 to 74","Jefferson",19172,14991
"16","75 to 79","Jefferson",12921,11973
"17","80 to 84","Jefferson",8268,6942
"18","85 plus","Jefferson",9218,5375
"19","Under 5 years","Orleans",23087,33496
"20","5 to 9","Orleans",21420,37133
"21","10 to 14","Orleans",21574,36769
"22","15 to 19","Orleans",21504,38312
"23","20 to 24","Orleans",24177,38932
"24","25 to 29","Orleans",34045,36416
"25","30 to 34","Orleans",35788,34050
"26","35 to 39","Orleans",29945,35053
"27","40 to 44","Orleans",23393,36444
"28","45 to 49","Orleans",22622,34562
"29","50 to 54","Orleans",23975,29128
"30","55 to 59","Orleans",25822,21068
"31","60 to 64","Orleans",25894,16658
"32","65 to 69","Orleans",21313,14648
"33","70 to 74","Orleans",14576,14301
"34","75 to 79","Orleans",9156,12458
"35","80 to 84","Orleans",6091,7838
"36","85 plus","Orleans",6624,7408
"37","Under 5 years","Plaquemines",1589,1977
"38","5 to 9","Plaquemines",1682,2183
"39","10 to 14","Plaquemines",1760,2241
"40","15 to 19","Plaquemines",1572,2197
"41","20 to 24","Plaquemines",1466,1668
"42","25 to 29","Plaquemines",1561,1621
"43","30 to 34","Plaquemines",1511,2024
"44","35 to 39","Plaquemines",1618,2271
"45","40 to 44","Plaquemines",1451,2247
"46","45 to 49","Plaquemines",1536,1855
"47","50 to 54","Plaquemines",1580,1554
"48","55 to 59","Plaquemines",1606,1272
"49","60 to 64","Plaquemines",1335,1034
"50","65 to 69","Plaquemines",1060,854
"51","70 to 74","Plaquemines",782,769
"52","75 to 79","Plaquemines",576,524
"53","80 to 84","Plaquemines",392,259
"54","85 plus","Plaquemines",333,207
"55","Under 5 years","St. Bernard",3308,4242
"56","5 to 9","St. Bernard",3698,4639
"57","10 to 14","St. Bernard",3541,4996
"58","15 to 19","St. Bernard",2881,5021
"59","20 to 24","St. Bernard",2568,4257
"60","25 to 29","St. Bernard",3838,4196
"61","30 to 34","St. Bernard",3875,4584
