SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,22,001,Louisiana,Acadia Parish,1,57576,28342,29234,3890,2002,1888,7509,3834,3675,3541,1874,1667,4672,2389,2283,44364,21527,22837,42636,20632,22004,21803,10947,10856,14494,7167,7327,14387,7012,7375,9083,4064,5019,3890,2002,1888,4057,2058,1999,4356,2259,2097,3904,2055,1849,3405,1725,1680,3687,1847,1840,3755,1871,1884,3652,1796,1856,3400,1653,1747,3186,1515,1671,3531,1703,1828,3947,1954,1993,3723,1840,1883,3132,1514,1618,2312,1081,1231,1588,705,883,1075,449,626,976,315,661,37.4,36.0,38.7
050,22,001,Louisiana,Acadia Parish,2,57455,28289,29166,3841,1978,1863,7490,3826,3664,3543,1877,1666,4668,2389,2279,44316,21515,22801,42581,20608,21973,21783,10945,10838,14471,7156,7315,14330,6973,7357,9112,4090,5022,3841,1978,1863,4058,2059,1999,4331,2244,2087,3906,2064,1842,3406,1725,1681,3643,1822,1821,3777,1881,1896,3647,1794,1853,3404,1659,1745,3178,1512,1666,3513,1690,1823,3928,1942,1986,3711,1829,1882,3161,1534,1627,2328,1094,1234,1578,691,887,1079,455,624,966,316,650,37.5,36.0,38.8
050,22,001,Louisiana,Acadia Parish,3,57288,28162,29126,3853,1949,1904,7386,3757,3629,3537,1869,1668,4711,2430,2281,44298,21541,22757,42512,20587,21925,21845,11030,10815,14466,7176,7290,14069,6817,7252,9266,4164,5102,3853,1949,1904,4092,2068,2024,4163,2134,2029,3939,2095,1844,3440,1759,1681,3537,1787,1750,3832,1907,1925,3637,1792,1845,3460,1690,1770,3117,1474,1643,3409,1630,1779,3838,1879,1959,3705,1834,1871,3262,1575,1687,2403,1143,1260,1575,674,901,1070,454,616,956,318,638,37.5,36.0,38.9
050,22,003,Louisiana,Allen Parish,1,22750,13034,9716,1356,690,666,2584,1372,1212,1121,577,544,1798,1059,739,18245,10695,7550,17689,10395,7294,9423,5987,3436,6795,4499,2296,5698,3280,2418,3398,1557,1841,1356,690,666,1414,762,652,1461,758,703,1286,666,620,1342,822,520,1760,1164,596,1817,1225,592,1712,1137,575,1506,973,533,1515,974,541,1434,830,604,1449,792,657,1300,684,616,1131,568,563,866,413,453,624,267,357,408,178,230,369,131,238,37.8,37.0,39.5
050,22,003,Louisiana,Allen Parish,2,22697,13022,9675,1348,693,655,2560,1359,1201,1126,576,550,1798,1065,733,18215,10686,7529,17663,10394,7269,9409,5985,3424,6783,4495,2288,5674,3275,2399,3408,1559,1849,1348,693,655,1398,750,648,1460,760,700,1280,665,615,1346,825,521,1746,1162,584,1825,1225,600,1700,1134,566,1512,974,538,1501,968,533,1431,830,601,1436,784,652,1306,693,613,1139,573,566,872,419,453,622,261,361,412,180,232,363,126,237,37.8,37.0,39.6
050,22,003,Louisiana,Allen Parish,3,22687,13021,9666,1347,688,659,2498,1301,1197,1174,581,593,1833,1098,735,18234,10728,7506,17668,10451,7217,9505,6078,3427,6815,4558,2257,5618,3251,2367,3402,1544,1858,1347,688,659,1372,716,656,1443,744,699,1300,681,619,1390,839,551,1714,1159,555,1862,1258,604,1674,1136,538,1565,1005,560,1482,960,522,1420,822,598,1397,766,631,1319,703,616,1133,561,572,896,435,461,618,255,363,408,181,227,347,112,235,37.8,37.0,39.6
050,22,005,Louisiana,Ascension Parish,1,126500,62653,63847,8653,4378,4275,17472,9051,8421,7801,3970,3831,9972,5136,4836,96475,47248,49227,92574,45254,47320,51287,25443,25844,35459,17312,18147,31590,15687,15903,15553,7119,8434,8653,4378,4275,9338,4818,4520,10079,5208,4871,8764,4502,4262,7064,3629,3435,8094,3945,4149,8959,4409,4550,9763,4780,4983,8643,4178,4465,8250,4111,4139,8280,4101,4179,8063,4040,4023,6997,3435,3562,5723,2752,2971,4294,2080,2214,2850,1218,1632,1474,641,833,1212,428,784,36.2,35.5,36.9
050,22,005,Louisiana,Ascension Parish,2,126984,62876,64108,8618,4352,4266,17498,9071,8427,7852,4002,3850,9979,5130,4849,96939,47459,49480,93016,45451,47565,51494,25521,25973,35633,17386,18247,31642,15706,15936,15762,7229,8533,8618,4352,4266,9370,4839,4531,10098,5229,4869,8772,4502,4270,7089,3633,3456,8074,3945,4129,9013,4426,4587,9793,4780,5013,8753,4235,4518,8195,4075,4120,8304,4119,4185,8102,4056,4046,7041,3456,3585,5775,2781,2994,4380,2118,2262,2870,1235,1635,1520,657,863,1217,438,779,36.3,35.5,37.0
050,22,005,Louisiana,Ascension Parish,3,128369,63387,64982,8488,4305,4183,17442,8987,8455,7988,4076,3912,10201,5248,4953,98399,48018,50381,94451,46019,48432,52151,25743,26408,36016,17489,18527,31730,15700,16030,16504,7582,8922,8488,4305,4183,9435,4851,4584,10061,5206,4855,8875,4554,4321,7260,3700,3560,7968,3890,4078,9029,4352,4677,9913,4829,5084,9106,4418,4688,7977,3947,4030,8448,4176,4272,8137,4066,4071,7168,3511,3657,5966,2885,3081,4719,2247,2472,2916,1287,1629,1666,711,955,1237,452,785,36.6,35.9,37.2
050,22,007,Louisiana,Assumption Parish,1,21039,10303,10736,1106,570,536,2264,1156,1108,1074,541,533,1585,811,774,17128,8298,8830,16595,8036,8559,7531,3720,3811,5155,2512,2643,5858,2831,3027,3997,1882,2115,1106,570,536,1180,611,569,1367,689,678,1230,625,605,1146,583,563,1419,707,712,1214,600,614,1298,626,672,1224,579,645,1263,618,645,1415,670,745,1620,767,853,1560,776,784,1336,640,696,1062,534,528,749,354,395,429,206,223,421,148,273,42.2,41.2,43.1
