var,Year,value,inc_adj21
Overall,1979,11814,45247.62
Overall,1989,18477,39910.32
Overall,1999,27133,43141.47
Overall,2010,37726,45648.46
Overall,2016,38681,42549.100000000006
Black,1979,8847,33884.01
Black,1989,13033,28151.280000000002
Black,1999,21461,34122.990000000005
Black,2010,26910,32561.1
Black,2016,25324,27856.4
"Hispanic, Any Race",1979,11591,44393.53
"Hispanic, Any Race",1989,19096,41247.36
"Hispanic, Any Race",1999,28545,45386.55
"Hispanic, Any Race",2010,36244,43855.24
"Hispanic, Any Race",2016,35683,39251.3
"White, Alone",1979,15605,59767.15
"White, Alone",1989,27381,59142.96000000001
"White, Alone",1999,40049,63677.91
"White, Alone",2010,56521,68390.41
"White, Alone",2016,65689,72257.90000000001
