GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,DHN001,DHN002,DHN003,DHN004,DHN005,DHN006,DHN007,DHN008,DHN009,DHN010,DHN011,DHN012,DHN013,DHN014,DHN015,DHN016,DHN017,DHN018,DHN019,DHN020,DHN021,DHN022,DHN023,DHN024,DHN025,DHO001,DHO002,DHO003,DHO004,DHO005
"G0100010","1980","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,"AUTAUGA",2541,2190,5438,1893,1979,1537,799,663,199,98,1,0,17,12,9,0,0,0,0,0,0,0,0,0,0,54,25,47,41,36
"G0100030","1980","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,"BALDWIN",7436,6966,14181,6094,5282,2289,1283,1103,459,190,53,46,75,21,26,25,6,0,8,0,19,2,21,20,0,141,70,90,32,18
"G0100050","1980","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,"BARBOUR",2160,1555,2632,1136,1120,3064,974,998,226,156,0,0,0,0,0,6,0,14,0,24,0,0,0,0,0,79,36,45,6,38
"G0100070","1980","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,"BIBB",2204,1732,2338,487,396,879,436,273,47,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,30,11,3,2
"G0100090","1980","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,"BLOUNT",6806,4596,6940,1778,1126,138,76,57,30,6,19,14,12,5,10,0,0,0,0,0,0,0,0,0,0,38,47,21,15,0
"G0100110","1980","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,"BULLOCK",0,0,0,0,0,1857,795,545,263,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,44,38,0,8
"G0100130","1980","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,"BUTLER",2378,1786,2740,857,825,2040,721,877,159,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,37,9,0,6
"G0100150","1980","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,"CALHOUN",12475,10337,18475,7357,6544,3030,2202,2750,950,608,14,53,16,23,15,71,49,99,71,33,5,32,71,48,13,105,89,201,118,53
"G0100170","1980","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,"CHAMBERS",4068,3887,5214,1925,1461,3163,1487,1330,313,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,31,15,6,0
"G0100190","1980","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,"CHEROKEE",3531,2447,2889,926,672,279,108,267,59,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,22,4,0
