GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GRW001,GRW002,GRW003,GRW004,GRW005,GRW006,GRW007,GRW008,GRW009,GRW010,GRW011,GRW012,GRW013,GRW014,GRW015,GRW016,GRW017,GRW018,GRW019,GRW020,GRW021,GRW022,GRW023,GRW024,GRW025,GRW026,GRW027,GRW028,GRW029,GRW030,GRW031,GRW032,GRW033,GRW034,GRW035,GRW036,GRW037,GRW038,GRW039,GRW040,GRW041,GRW042,GRW043,GRW044,GRW045,GRW046,GRW047,GRW048,GRW049,GRW050,GRW051,GRW052,GRW053,GRW054,GRW055,GRW056,GRW057,GRW058,GRW059,GRW060,GRW061,GRW062,GRW063,GRW064,GRW065,GRW066,GRW067,GRW068,GRW069,GRW070,GRW071,GRW072,GRW073,GRW074,GRW075,GRW076,GRW077,GRW078,GRW079,GRW080,GRW081,GRW082,GRW083,GRW084,GRW085,GRW086,GRW087,GRW088,GRW089,GRW090,GRW091,GRW092,GRW093,GRW094,GRW095,GRW096,GRW097,GRW098,GRZ001,GRZ002,GRZ003,GRZ004,GRZ005,GRZ006,GRZ007,GRZ008,GRZ009,GRZ010,GRZ011,GRZ012,GRZ013,GRZ014
"G0100010","2000","3","6","Alabama","01","Autauga","001",,,,,,,,,,,,,"5240","9999","9999",,,,,,,,"Autauga County",424,1503,3461,2536,548,1535,947,484,1510,4402,2763,603,1407,667,235,561,597,189,57,119,32,353,599,777,379,138,109,60,0,13,5,15,10,7,0,14,6,10,50,5,0,11,0,17,5,0,0,13,6,8,37,27,18,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,9,0,9,0,5,0,0,0,0,27,17,19,42,15,30,0,34,14,16,32,0,10,4,18,33,42,44,0,9,7,15,6,0,0,5,0,13
"G0100030","2000","3","6","Alabama","01","Baldwin","003",,,,,,,,,,,,,"5160","9999","9999",,,,,,,,"Baldwin County",1692,5113,11497,9747,2183,7131,3811,1415,5352,13573,10789,2973,6551,3694,423,1082,1239,596,141,123,60,406,1176,1532,675,292,231,201,0,50,86,108,9,15,0,25,46,84,50,32,43,23,0,0,37,7,14,33,26,22,17,41,77,24,0,38,0,0,3,0,0,8,0,0,0,5,7,0,0,0,85,58,61,45,1,15,23,62,26,19,5,7,15,0,31,53,97,197,37,23,23,36,88,154,153,9,37,22,199,138,111,122,45,84,45,133,127,152,75,28,95,22
"G0100050","2000","3","6","Alabama","01","Barbour","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Barbour County",369,929,1724,1202,338,654,205,347,903,1741,1066,261,484,412,720,1250,1268,387,128,71,9,932,1049,1278,432,123,146,69,11,15,23,0,7,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,34,45,10,10,0,2,7,0,13,0,0,1,0,0,36,4,23,13,6,4,6,6,28,4,4,0,5,70,44,55,17,10,16,2,39,7,15,12,0,11,0
"G0100070","2000","3","6","Alabama","01","Bibb","007",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bibb County",711,1101,1934,961,248,234,158,597,1068,1995,806,371,281,244,259,581,531,130,18,8,2,169,413,346,149,40,16,7,0,4,0,4,6,0,0,3,18,8,3,0,6,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,18,5,0,12,0,0,0,0,5,24,8,0,6,0,16,5,0,9,0,8,0,10,0,16,6,0,0,4
"G0100090","2000","3","6","Alabama","01","Blount","009",,,,,,,,,,,,,"1000","9999","9999",,,,,,,,"Blount County",1873,3000,5684,3061,729,949,493,1497,2927,6110,3033,1270,963,722,29,35,70,16,0,2,0,0,53,83,16,11,0,6,18,6,2,7,10,0,3,0,15,20,36,0,0,0,0,1,0,1,0,5,15,13,1,3,0,2,14,7,0,0,0,0,0,6,0,0,0,7,0,0,0,0,147,92,26,22,0,14,3,118,27,60,2,13,0,0,22,32,30,41,42,0,0,9,45,41,41,18,19,14,376,156,62,41,5,22,3,194,61,90,15,32,23,0
"G0100110","2000","3","6","Alabama","01","Bullock","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bullock County",174,268,482,235,80,120,65,124,186,302,190,14,74,85,380,822,879,286,22,41,32,451,536,956,346,106,71,74,5,19,0,12,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,24,0,0,4,0,0,0,0,0,6,7,30,0,0,0,0,0,5,6,20,0,0,0,50,34,100,17,22,24,0,25,4,0,13,0,0,0
"G0100130","2000","3","6","Alabama","01","Butler","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Butler County",474,630,1495,750,185,432,171,467,688,1685,1064,227,408,160,407,547,712,222,84,48,7,393,821,845,484,115,109,71,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,6,4,0,0,0,0,0,0,6,9,0,6,0,0,13,10,13,7,0,0,4,0,25,9,5,0,0
"G0100150","2000","3","6","Alabama","01","Calhoun","015",,,,,,,,,,,,,"0450","9999","9999",,,,,,,,"Calhoun County",2291,4537,8751,6490,1607,3015,2025,2606,5802,10686,6544,1476,2784,2112,414,1130,1882,925,272,274,175,645,1388,2141,1441,349,360,226,5,50,17,50,15,11,16,0,10,24,64,22,7,5,8,0,21,31,0,36,22,70,46,62,53,0,41,43,0,0,2,0,3,0,0,0,0,10,0,0,0,0,21,46,40,34,0,0,0,31,37,21,29,8,4,3,18,60,95,68,6,32,19,49,54,104,82,7,48,7,83,148,122,111,52,23,10,66,132,87,81,22,27,35
"G0100170","2000","3","6","Alabama","01","Chambers","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Chambers County",609,1523,2437,1463,364,663,383,813,1824,2698,1830,464,568,339,683,1044,1258,390,103,114,10,946,1283,1446,676,178,188,49,0,5,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,6,0,0,0,4,0,6,9,8,0,0,0,0,0,14,10,30,5,0,5,7,19,21,7,0,12,5,16,24,9,39,11,12,0
"G0100190","2000","3","6","Alabama","01","Cherokee","019",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Cherokee County",1062,1741,2639,1158,271,465,315,1092,1854,2860,1189,411,391,383,44,70,185,50,2,13,0,88,109,144,52,16,40,6,0,22,4,7,0,8,0,7,0,9,0,0,0,0,0,0,0,0,0,8,2,0,0,8,7,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,3,0,0,0,0,19,12,2,0,0,0,0,0,4,9,7,0,0,31,16,9,1,0,5,0,6,10,6,7,10,0,0
