GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I9HE001,I9HE002,I9HE003,I9HE004,I9HE005,I9HE006,I9HE007,I9HE008,I9HE009,I9HE010,I9HE011,I9HE012,I9HE013,I9HE014,I9HE015,I9HE016,I9HE017,I9HE018,I9HE019,I9HE020,I9HE021,I9HE022,I9HE023,I9HE024,I9HE025,I9HE026,I9HE027,I9TE001,I9TE002,I9TE003,I9TE004,I9TE005,I9TE006,I9TE007,I9TE008,I9TE009,I9TE010,I9TE011,I9TE012,I9TE013,I9TE014,I9TE015,I9TE016,I9TE017,I9TE018,I9TE019,I9TE020,I9TE021,I9TE022,I9TE023,I9TE024,I9TE025,I9TE026,I9TE027,I9VE001,I9VE002,I9VE003,I9VE004,I9VE005,I9VE006,I9VE007,I9VE008,I9VE009,I9VE010,I9VE011,I9VE012,I9VE013,I9VE014,I9VE015,I9VE016,I9VE017,I9VE018,I9VE019,I9VE020,I9VE021,I9VE022,I9VE023,I9VE024,I9VE025,I9VE026,I9VE027,NAME_M,I9HM001,I9HM002,I9HM003,I9HM004,I9HM005,I9HM006,I9HM007,I9HM008,I9HM009,I9HM010,I9HM011,I9HM012,I9HM013,I9HM014,I9HM015,I9HM016,I9HM017,I9HM018,I9HM019,I9HM020,I9HM021,I9HM022,I9HM023,I9HM024,I9HM025,I9HM026,I9HM027,I9TM001,I9TM002,I9TM003,I9TM004,I9TM005,I9TM006,I9TM007,I9TM008,I9TM009,I9TM010,I9TM011,I9TM012,I9TM013,I9TM014,I9TM015,I9TM016,I9TM017,I9TM018,I9TM019,I9TM020,I9TM021,I9TM022,I9TM023,I9TM024,I9TM025,I9TM026,I9TM027,I9VM001,I9VM002,I9VM003,I9VM004,I9VM005,I9VM006,I9VM007,I9VM008,I9VM009,I9VM010,I9VM011,I9VM012,I9VM013,I9VM014,I9VM015,I9VM016,I9VM017,I9VM018,I9VM019,I9VM020,I9VM021,I9VM022,I9VM023,I9VM024,I9VM025,I9VM026,I9VM027
"G0100030","2010","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",13148,6638,6269,3303,0,3303,2817,486,2966,369,0,0,0,369,6510,5706,3760,0,3760,2786,974,1946,804,254,254,0,550,124072,59714,46424,37629,225,37404,33986,3418,8795,13290,2165,2098,67,11125,64358,49090,32605,0,32605,29741,2864,16485,15268,927,823,104,14341,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",343,309,368,665,273,665,568,416,787,195,273,273,273,195,149,388,939,273,939,971,516,843,385,289,289,273,328,880,701,701,1301,230,1327,1553,1003,1399,273,719,719,111,719,403,403,1579,273,1579,1784,916,1579,273,376,338,128,376,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100150","2010","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",18770,8572,7763,4805,0,4805,3511,1294,2958,809,69,69,0,740,10198,8849,5741,0,5741,3564,2177,3108,1349,183,183,0,1166,71967,34600,28573,19769,87,19682,17703,1979,8804,6027,480,480,0,5547,37367,28851,16423,0,16423,14125,2298,12428,8516,523,523,0,7993,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",465,391,391,991,273,991,958,558,1032,273,72,72,273,72,275,230,1001,273,1001,1050,777,976,169,161,161,273,243,280,140,140,1378,149,1359,1350,713,1398,273,236,236,273,236,245,245,1205,273,1205,1433,689,1182,273,274,274,273,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100430","2010","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,59690,28998,23625,15591,15,15576,13055,2521,8034,5373,1266,1205,61,4107,30692,23548,15445,0,15445,13662,1783,8103,7144,459,459,0,6685,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,468,285,285,1532,27,1531,1531,823,1544,273,525,533,105,525,356,356,1316,273,1316,1350,824,1343,273,306,306,273,306,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2010","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,46692,22478,18371,14066,0,14066,11813,2253,4305,4107,836,731,105,3271,24214,18830,10792,0,10792,9846,946,8038,5384,644,461,183,4740,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,369,382,382,1032,273,1032,1160,825,1165,273,376,351,116,376,192,192,1080,273,1080,1166,407,1055,273,333,268,220,333,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2010","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",12278,6083,5903,2174,107,2067,1589,478,3729,180,0,0,0,180,6195,5531,3258,62,3196,2904,292,2273,664,142,142,0,522,47740,22649,18831,15047,153,14894,14348,546,3784,3818,803,786,17,3015,25091,20582,13456,0,13456,12472,984,7126,4509,460,460,0,4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",573,339,366,954,212,831,786,277,1023,135,273,273,273,135,557,557,1402,118,1372,1197,304,1387,273,202,202,273,202,395,372,372,670,141,687,763,256,769,273,332,327,29,332,192,192,1635,273,1635,1555,502,1666,273,288,288,273,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2010","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",12740,6253,5683,3081,0,3081,2255,826,2602,570,113,113,0,457,6487,5547,2935,0,2935,1944,991,2612,940,38,38,0,902,67402,32197,25966,19387,47,19340,17544,1796,6579,6231,1047,986,61,5184,35205,26675,15123,0,15123,13359,1764,11552,8530,1089,1089,0,7441,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",348,228,228,629,273,629,658,530,676,273,122,122,273,122,403,350,601,273,601,603,427,550,130,69,69,273,140,473,346,346,1090,78,1088,1211,817,1025,273,439,427,100,439,350,350,1609,273,1609,1463,674,1728,273,442,442,273,442,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100690","2010","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",19442,8541,7600,4737,0,4737,4213,524,2863,941,195,195,0,746,10901,9523,6329,0,6329,5478,851,3194,1378,115,101,14,1263,56899,27277,22106,17623,433,17190,16147,1043,4483,5171,1066,962,104,4105,29622,22706,16039,65,15974,15204,770,6667,6916,858,845,13,6058,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",264,240,240,554,273,554,527,259,535,273,116,116,273,116,118,113,528,273,528,570,297,559,47,76,73,22,88,215,122,122,585,260,608,634,333,593,273,251,238,103,251,177,177,684,84,695,747,295,697,273,274,274,23,274,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100730","2010","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",211595,93139,83559,56513,470,56043,45502,10541,27046,9580,713,589,124,8867,118456,102123,71126,44,71082,59134,11948,30997,16333,1842,1781,61,14491,282463,134282,110264,88938,104,88834,82202,6632,21326,24018,5421,5096,325,18597,148181,113080,78174,214,77960,71526,6434,34906,35101,3912,3585,327,31189,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",1092,648,647,2194,412,2181,2518,1709,2365,76,306,281,139,333,838,838,2888,71,2893,3142,1690,3054,273,473,470,79,473,821,518,518,2158,119,2134,2482,1410,2246,273,830,797,223,830,559,559,2821,267,2831,2719,1202,2893,273,687,641,260,687,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100770","2010","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,64886,30529,24395,19418,0,19418,17826,1592,4977,6134,1129,1077,52,5005,34357,26111,16697,0,16697,15276,1421,9414,8246,927,927,0,7319,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,302,354,354,992,273,992,1103,621,1069,273,444,431,84,444,302,302,1192,273,1192,1250,772,1343,273,483,483,273,483,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100810","2010","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",24875,11301,10366,8383,302,8081,6379,1702,1983,935,84,84,0,851,13574,12040,8566,0,8566,7380,1186,3474,1534,77,77,0,1457,80494,39802,35292,26287,516,25771,23412,2359,9005,4510,1107,1051,56,3403,40692,35136,22804,48,22756,20682,2074,12332,5556,524,462,62,5032,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",493,353,353,812,272,817,1077,835,753,273,113,113,273,113,356,356,752,273,752,797,451,699,273,82,82,273,82,456,360,360,1214,323,1284,1323,765,1259,273,379,384,95,379,336,336,1278,74,1271,1317,753,1294,273,279,261,103,279,,,,,,,,,,,,,,,,,,,,,,,,,,,
