GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHY001,DHY002,DHY003,DHY004,DHY005,DHY006,DHY007,DHY008,DHY009,DHY010,DHY011,DHY012,DHY013,DHY014,DHY015,DHY016,DHY017,DHY018,DHY019,DHY020,DHY021,DHY022,DHY023,DHY024,DHY025,DHY026,DHY027,DHY028,DHY029,DHY030,DHY031,DHY032,DHY033,DHY034,DHY035,DHY036,DHY037,DHY038,DHY039,DHY040
"G0100010","1980","A","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,"05",,,,,"AUTAUGA",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,323,6402,325,1720,26,4116,214,4979,10,1119,148,860,0,890,220,1417,0,36,0,4,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100030","1980","A","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,"08",,,,,"BALDWIN",,,,,,,,,,,,"1","1",,,,,,"1",,,,,,"1",,,100,16384,710,6641,0,9681,916,15019,0,1854,318,1307,10,1626,474,2119,0,70,11,31,0,103,23,66,0,18,0,0,0,18,0,15,0,48,0,14,0,5,1,24
"G0100050","1980","A","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,"09",,,,,"BARBOUR",,,,"1",,,,,,,,,,,,,"1",,"1",,,,,"1","1",,,23,3376,163,1322,0,2236,163,3159,22,1500,217,1404,0,1473,225,2471,0,0,0,0,0,0,0,0,0,12,0,0,0,24,0,14,0,0,0,0,0,0,0,0
"G0100070","1980","A","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,"05",,,,,"BIBB",,,,"1","1",,,,,,"1","1",,,,,"1",,"1",,,,"1","1",,,,0,2876,252,1190,0,1532,159,2921,0,551,65,449,0,413,66,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100090","1980","A","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,"02",,,,,"BLOUNT",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,18,8555,700,3706,0,4875,404,8222,0,101,0,72,0,105,29,108,0,38,0,6,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100110","1980","A","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,"06",,,,,"BULLOCK",,"1",,,"1",,,,,,,,,,,,,,,,,,,,,"1",,0,0,0,0,0,0,0,0,15,875,90,1081,0,928,189,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100130","1980","A","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,"09",,,,,"BUTLER",,,,"1","1",,,,,,,,,,,,"1","1",,,,,"1","1",,,,0,3048,136,1562,0,2232,131,3178,10,1290,153,900,8,1115,153,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100150","1980","A","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,"03",,,,,"CALHOUN",,,,,,,,,,,,,,,,,,,,,,,,,,,,4456,21444,1456,9008,1220,15051,1644,20182,1267,2839,437,2207,523,2902,685,3788,62,52,23,4,15,44,0,25,80,62,0,20,16,71,14,175,231,44,13,7,59,40,12,50
"G0100170","1980","A","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,"04",,,,,"CHAMBERS",,,,"1","1",,,,,"1",,"1",,,,,,,,,,,"1",,"1",,,22,6548,181,2441,5,4774,504,5309,0,2466,210,1232,0,2118,430,2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100190","1980","A","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,"03",,,,,"CHEROKEE",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,8,4069,308,1920,0,2709,215,3758,2,278,38,145,0,326,30,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100210","1980","A","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,"05",,,,,"CHILTON",,,,,,,,,,"1",,"1",,,,,"1",,"1",,,,,,,,,2,6519,532,2608,0,3626,326,6604,14,503,154,440,0,430,123,712,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,7,0,0,0,0,0,0,0,0
"G0100230","1980","A","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,"07",,,,,"CHOCTAW",,,,"1","1",,,,,"1","1",,,,,,,,,,,"1",,"1",,"1",,0,2171,102,1109,0,1200,82,2367,0,1136,130,889,0,833,145,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
