GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E4J001,E4J002,E4J003,E4J004,E4J005,E4J006,E4J007,E4J008,E4J009,E4J010,E4J011,E4J012,E4J013,E4J014,E4J015,E4J016,E4J017,E4J018,E4J019,E4J020,E4J021,E4J022,E4J023,E4J024,E4J025,E4J026,E4J027,E4J028,E4J029,E4J030,E4J031,E4J032,E4J033,E4J034,E4J035,E4J036,E4J037,E4J038,E4J039,E4J040
"G0100010","1990","AL",,,,,,,,,,,"99","Autauga","001",,,"6","5240",,,,"9999","3","Alabama","01",,,,,"0001543666","0000021962","Autauga County","A","+32542207","-086641472","06",333,7250,254,2062,66,5838,278,4418,8,1085,140,814,7,1193,206,1234,0,7,0,0,0,17,0,8,0,0,0,8,0,27,0,21,5,9,0,0,0,6,0,5
"G0100030","1990","AL",,,,,,,,,,,"99","Baldwin","003",,,"6","5160",,,,"9999","3","Alabama","01",,,,,"0004135016","0001115118","Baldwin County","A","+30654881","-087754736","06",136,21479,795,9607,8,16524,984,16993,0,2070,227,1501,0,2397,449,1868,0,195,14,67,0,231,0,164,0,18,6,8,0,43,0,16,0,34,0,0,0,14,0,13
"G0100050","1990","AL",,,,,,,,,,,"99","Barbour","005",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002292133","0000050747","Barbour County","A","+31863073","-085388993","06",12,3665,178,1487,0,2867,124,2807,21,1817,199,1307,2,1918,333,2016,0,13,4,0,0,9,0,14,0,4,0,3,0,20,0,5,0,0,0,0,0,0,0,0
"G0100070","1990","AL",,,,,,,,,,,"99","Bibb","007",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001611914","0000008130","Bibb County","A","+32996943","-087126855","06",10,3452,131,1227,0,2168,202,2803,0,562,49,416,0,543,82,651,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"G0100090","1990","AL",,,,,,,,,,,"99","Blount","009",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0001672287","0000012884","Blount County","A","+33979740","-086566214","06",32,10241,421,3702,4,6939,472,8000,0,129,8,48,0,160,9,51,0,14,3,34,0,21,0,33,0,14,0,0,0,6,0,11,0,36,6,2,0,8,15,56
"G0100110","1990","AL",,,,,,,,,,,"99","Bullock","011",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001618915","0000002703","Bullock County","A","+32101773","-085717786","06",6,770,39,540,0,558,43,590,0,1043,124,1275,0,1371,125,1472,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"G0100130","1990","AL",,,,,,,,,,,"99","Butler","013",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002012260","0000002724","Butler County","A","+31751982","-086682302","06",2,3005,182,1552,0,2296,280,2958,6,1036,318,1109,0,1175,454,1678,0,7,0,1,0,7,0,0,0,4,0,0,0,0,4,4,0,7,0,0,0,0,0,0
"G0100150","1990","AL",,,,,,,,,,,"99","Calhoun","015",,,"6","0450",,,,"9999","3","Alabama","01",,,,,"0001576038","0000009959","Calhoun County","A","+33774548","-085825619","06",2591,21854,1454,9397,440,17632,1517,18785,946,3248,469,2369,396,3775,865,3416,40,72,5,22,8,23,5,46,32,45,0,54,12,193,21,260,135,36,5,3,16,21,9,23
"G0100170","1990","AL",,,,,,,,,,,"99","Chambers","017",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001547283","0000014885","Chambers County","A","+32915184","-085389802","06",7,6219,225,2478,0,5113,283,4791,12,2361,284,1381,0,2633,402,2236,0,14,0,6,0,8,0,15,0,0,0,0,0,0,6,0,0,22,0,7,0,6,0,0
"G0100190","1990","AL",,,,,,,,,,,"99","Cherokee","019",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001432714","0000121285","Cherokee County","A","+34187088","-085605750","06",2,4450,333,2253,0,3415,295,3774,0,276,38,140,0,266,17,223,0,6,8,0,0,14,0,2,0,2,0,0,0,8,0,2,0,5,0,8,0,2,0,2
