GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSS001,GSS002,GSS003,GSS004,GSS005,GSS006,GSS007,GSS008,GSS009,GSS010,GSS011,GSS012,GSS013,GSS014,GSS015,GSS016,GSS017,GSS018,GSS019,GSS020,GSS021,GSS022,GSS023,GSS024,GSS025,GSS026,GSS027,GSS028
"G0100010","2000","US","3","6","Alabama","01","Autauga","001",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,,"1543550050","21959029","Autauga County","A","+32523283","-086577176","06",,,9255,290,7274,337,1098,195,1489,146,36,0,83,0,36,0,80,0,0,0,0,0,43,0,21,0,115,23,65,15
"G0100030","2000","US","3","6","Alabama","01","Baldwin","003",,,,,"0",,,,,,,,,,,,,"5160","99","N","9999","9999","9",,,,,,,,,"4134518782","1115203109","Baldwin County","A","+30592781","-087748260","06",,,30735,1167,25210,1068,2361,164,2894,293,221,8,219,1,112,0,125,0,8,0,5,16,233,46,92,25,372,10,351,15
"G0100050","2000","US","3","6","Alabama","01","Barbour","005",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2291889572","50799584","Barbour County","A","+31856515","-085331312","06",,,3524,72,2800,92,1698,189,1864,255,11,0,6,0,3,0,11,0,0,0,0,0,173,0,38,0,33,0,32,4
"G0100070","2000","US","3","6","Alabama","01","Bibb","007",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1613627425","8124469","Bibb County","A","+33040054","-087123243","06",,,3954,182,2865,162,491,110,544,70,14,0,11,0,6,0,6,0,0,0,0,0,30,0,0,0,14,0,32,6
"G0100090","2000","US","3","6","Alabama","01","Blount","009",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,,"1672057889","12998871","Blount County","A","+33978461","-086554768","06",,,12480,527,9269,574,99,13,64,0,35,3,35,12,32,0,38,8,6,0,7,0,280,10,129,2,127,4,100,4
"G0100110","2000","US","3","6","Alabama","01","Bullock","011",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1618775183","2703063","Bullock County","A","+32098285","-085704915","06",,,780,0,479,6,1069,115,1056,195,11,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,24,0,13,6
"G0100130","2000","US","3","6","Alabama","01","Butler","013",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2012076972","2732130","Butler County","A","+31735884","-086662232","06",,,3026,99,2453,221,1155,269,1345,363,3,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,4,0,10,0
"G0100150","2000","US","3","6","Alabama","01","Calhoun","015",,,,,"0",,,,,,,,,,,,,"0450","99","N","9999","9999","9",,,,,,,,,"1575907564","9996496","Calhoun County","A","+33741989","-085817544","06",,,22032,1123,17440,1050,3450,549,3824,583,103,5,83,0,110,6,180,0,0,8,13,0,143,17,82,0,211,8,185,25
"G0100170","2000","US","3","6","Alabama","01","Chambers","017",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1546657021","15382288","Chambers County","A","+32891233","-085288745","06",,,5545,266,4678,237,2508,302,2863,274,26,0,0,6,0,0,6,0,0,0,0,0,16,0,6,0,6,0,41,9
"G0100190","2000","US","3","6","Alabama","01","Cherokee","019",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1432576264","121290944","Cherokee County","A","+34184158","-085621930","06",,,5311,160,4220,171,277,25,237,43,39,0,1,9,10,0,12,0,0,0,0,0,40,0,3,0,14,0,16,2
