GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHZ001,DHZ002,DHZ003,DHZ004,DHZ005,DHZ006,DHZ007,DHZ008
"G0100010","1980","A","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,"05",,,,,"AUTAUGA",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,12,104,6,24,0,48,0,69
"G0100030","1980","A","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,"08",,,,,"BALDWIN",,,,,,,,,,,,"1","1",,,,,,"1",,,,,,"1",,,0,192,14,48,0,70,6,129
"G0100050","1980","A","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,"09",,,,,"BARBOUR",,,,"1",,,,,,,,,,,,,"1",,"1",,,,,"1","1",,,0,55,2,53,0,69,4,104
"G0100070","1980","A","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,"05",,,,,"BIBB",,,,"1","1",,,,,,"1","1",,,,,"1",,"1",,,,"1","1",,,,0,25,0,30,0,25,8,33
"G0100090","1980","A","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,"02",,,,,"BLOUNT",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,0,49,3,25,0,40,2,49
"G0100110","1980","A","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,"06",,,,,"BULLOCK",,"1",,,"1",,,,,,,,,,,,,,,,,,,,,"1",,0,50,0,24,0,20,16,27
"G0100130","1980","A","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,"09",,,,,"BUTLER",,,,"1","1",,,,,,,,,,,,"1","1",,,,,"1","1",,,,0,35,5,58,0,26,5,71
"G0100150","1980","A","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,"03",,,,,"CALHOUN",,,,,,,,,,,,,,,,,,,,,,,,,,,,412,128,16,105,121,88,44,263
"G0100170","1980","A","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,"04",,,,,"CHAMBERS",,,,"1","1",,,,,"1",,"1",,,,,,,,,,,"1",,"1",,,0,42,0,29,0,25,8,47
"G0100190","1980","A","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,"03",,,,,"CHEROKEE",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,0,43,2,10,0,10,0,28
"G0100210","1980","A","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,"05",,,,,"CHILTON",,,,,,,,,,"1",,"1",,,,,"1",,"1",,,,,,,,,0,32,0,7,0,19,7,46
"G0100230","1980","A","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,"07",,,,,"CHOCTAW",,,,"1","1",,,,,"1","1",,,,,,,,,,,"1",,"1",,"1",,0,20,0,50,0,30,7,44
"G0100250","1980","A","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,"07",,,,,"CLARKE",,,,,"1",,,,,,,,,,,,,,,,,,"1","1",,,,0,43,6,44,0,33,2,74
"G0100270","1980","A","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,"04",,,,,"CLAY",,,"1","1",,,,,,,,,,,,,,,,,,,,,,"1",,0,28,0,10,0,18,2,19
"G0100290","1980","A","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,"04",,,,,"CLEBURNE",,,,,"1","1",,,,"1",,"1",,"1",,,"1",,"1","1",,,,,,,,0,0,0,0,0,0,0,0
"G0100310","1980","A","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,"09",,,,,"COFFEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,32,73,8,23,0,85,7,81
"G0100330","1980","A","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,"01",,,,,"COLBERT",,,,,"1",,,,,,,,,,,,,"1","1",,,,,"1","1",,,0,35,5,10,0,26,6,37
"G0100350","1980","A","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,"09",,,,,"CONECUH",,,"1","1",,,,,,"1","1",,,,,,,,,,,,"1","1",,"1",,0,28,6,26,0,25,0,49
"G0100370","1980","A","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,"04",,,,,"COOSA",,,"1",,"1",,,,,,,,,,,,,,,"1",,,,,,"1",,0,8,0,5,0,7,0,7
"G0100390","1980","A","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,"09",,,,,"COVINGTON",,,,"1",,,,,,,"1",,"1",,,,,,"1",,,,,,,,,0,69,11,19,0,39,4,58
"G0100410","1980","A","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,"09",,,,,"CRENSHAW",,,,,"1",,,,,"1",,"1",,,,,"1",,"1",,,,,,,,,0,3,0,8,0,5,0,5
"G0100430","1980","A","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,"02",,,,,"CULLMAN",,,,,"1",,,,,,,,,,,,,"1","1",,,,,,"1",,,0,70,2,14,0,60,0,86
"G0100450","1980","A","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,"09",,,,,"DALE",,,,,,,,,,,,,,,,,,,"1",,,,,,,,,328,86,0,20,68,42,6,154
"G0100470","1980","A","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,"06",,,,,"DALLAS",,,,"1",,,,,,,"1",,"1",,,,,"1",,,,,,,"1",,,0,102,15,94,0,118,0,75
"G0100490","1980","A","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,"02",,,,,"DE KALB",,,,,,,,,,,,,,,,,,,"1",,,,,,"1",,,0,41,43,46,0,86,2,74
"G0100510","1980","A","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,"05",,,,,"ELMORE",,,,"1",,,,,,,"1","1",,,,,"1",,"1",,,,"1","1",,,,2,77,2,94,0,65,8,82
"G0100530","1980","A","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,"08",,,,,"ESCAMBIA",,,,,"1",,,,,,"1",,"1",,,,,,,,,,,"1",,,,0,46,8,37,0,25,5,67
"G0100550","1980","A","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,"03",,,,,"ETOWAH",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,8,70,7,74,11,27,5,122
"G0100570","1980","A","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,"05",,,,,"FAYETTE",,,,,"1",,,,,,,"1","1",,,,"1",,,,,,"1",,"1",,,0,47,0,8,0,7,0,8
"G0100590","1980","A","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,"05",,,,,"FRANKLIN",,,,,"1",,,,,,,,,,,,,"1","1",,,,,"1","1",,,0,15,6,24,0,11,0,40
"G0100610","1980","A","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,"09",,,,,"GENEVA",,,,,"1",,,,,,"1",,"1",,,,,"1",,,,,"1","1",,,,0,65,3,30,0,32,0,53
"G0100630","1980","A","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,"06",,,,,"GREENE",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,5,24,0,19,17,24
"G0100650","1980","A","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,"06",,,,,"HALE",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,0,71,0,70,0,82,0,41
