GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,E4K001,E4K002,E4K003,E4K004,E4K005,E4K006,E4K007,E4K008
"G0100010","1990","AL",,,,,,,,,,,"99","Autauga","001",,,"6","5240",,,,"9999","3","Alabama","01",,,,,"0001543666","0000021962","Autauga County","A","+32542207","-086641472","06",12,36,22,0,0,29,0,47
"G0100030","1990","AL",,,,,,,,,,,"99","Baldwin","003",,,"6","5160",,,,"9999","3","Alabama","01",,,,,"0004135016","0001115118","Baldwin County","A","+30654881","-087754736","06",0,199,11,66,0,151,10,148
"G0100050","1990","AL",,,,,,,,,,,"99","Barbour","005",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002292133","0000050747","Barbour County","A","+31863073","-085388993","06",0,16,5,9,0,0,0,3
"G0100070","1990","AL",,,,,,,,,,,"99","Bibb","007",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001611914","0000008130","Bibb County","A","+32996943","-087126855","06",0,16,0,5,0,6,0,14
"G0100090","1990","AL",,,,,,,,,,,"99","Blount","009",,,"6","1000",,,,"9999","3","Alabama","01",,,,,"0001672287","0000012884","Blount County","A","+33979740","-086566214","06",0,64,6,5,0,31,15,71
"G0100110","1990","AL",,,,,,,,,,,"99","Bullock","011",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001618915","0000002703","Bullock County","A","+32101773","-085717786","06",0,14,0,0,0,3,0,0
"G0100130","1990","AL",,,,,,,,,,,"99","Butler","013",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002012260","0000002724","Butler County","A","+31751982","-086682302","06",0,20,9,12,0,4,7,11
"G0100150","1990","AL",,,,,,,,,,,"99","Calhoun","015",,,"6","0450",,,,"9999","3","Alabama","01",,,,,"0001576038","0000009959","Calhoun County","A","+33774548","-085825619","06",272,136,11,59,20,118,21,176
"G0100170","1990","AL",,,,,,,,,,,"99","Chambers","017",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001547283","0000014885","Chambers County","A","+32915184","-085389802","06",0,41,0,0,0,12,0,25
"G0100190","1990","AL",,,,,,,,,,,"99","Cherokee","019",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001432714","0000121285","Cherokee County","A","+34187088","-085605750","06",0,27,0,16,0,26,0,2
"G0100210","1990","AL",,,,,,,,,,,"99","Chilton","021",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001797629","0000017453","Chilton County","A","+32844987","-086718688","06",0,18,0,6,0,9,0,24
"G0100230","1990","AL",,,,,,,,,,,"99","Choctaw","023",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0002366161","0000018995","Choctaw County","A","+32024863","-088265781","06",0,15,0,6,0,1,0,36
"G0100250","1990","AL",,,,,,,,,,,"99","Clarke","025",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0003207659","0000036584","Clarke County","A","+31677523","-087835981","06",0,1,1,8,0,15,11,34
"G0100270","1990","AL",,,,,,,,,,,"99","Clay","027",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001567273","0000002403","Clay County","A","+33268721","-085859858","06",0,2,0,0,0,2,6,13
"G0100290","1990","AL",,,,,,,,,,,"99","Cleburne","029",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001450928","0000002226","Cleburne County","A","+33670870","-085517385","06",0,0,0,0,0,1,0,0
"G0100310","1990","AL",,,,,,,,,,,"99","Coffee","031",,,"6","9999",,,,"9999","3","Alabama","01",,,,,"0001759093","0000003449","Coffee County","A","+31402888","-085989130","06",88,12,0,40,8,61,15,52
"G0100330","1990","AL",,,,,,,,,,,"99","Colbert","033",,,"6","2650",,,,"9999","3","Alabama","01",,,,,"0001539948","0000075322","Colbert County","A","+34707296","-087796569","06",0,38,0,21,0,29,0,17
