GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSV001,GSV002,GSV003,GSV004,GSX001,GSX002,GSX003,GSX004
"G0100010","2000","US","3","6","Alabama","01","Autauga","001",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,,"1543550050","21959029","Autauga County","A","+32523283","-086577176","06",,,170,20,38,35,170,0,25,0
"G0100030","2000","US","3","6","Alabama","01","Baldwin","003",,,,,"0",,,,,,,,,,,,,"5160","99","N","9999","9999","9",,,,,,,,,"4134518782","1115203109","Baldwin County","A","+30592781","-087748260","06",,,792,169,455,300,690,85,401,54
"G0100050","2000","US","3","6","Alabama","01","Barbour","005",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2291889572","50799584","Barbour County","A","+31856515","-085331312","06",,,224,80,63,62,224,0,54,9
"G0100070","2000","US","3","6","Alabama","01","Bibb","007",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1613627425","8124469","Bibb County","A","+33040054","-087123243","06",,,56,6,22,22,56,0,22,0
"G0100090","2000","US","3","6","Alabama","01","Blount","009",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,,"1672057889","12998871","Blount County","A","+33978461","-086554768","06",,,568,399,252,349,544,19,237,15
"G0100110","2000","US","3","6","Alabama","01","Bullock","011",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1618775183","2703063","Bullock County","A","+32098285","-085704915","06",,,239,30,35,32,239,0,35,0
"G0100130","2000","US","3","6","Alabama","01","Butler","013",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2012076972","2732130","Butler County","A","+31735884","-086662232","06",,,17,46,13,30,7,10,8,5
"G0100150","2000","US","3","6","Alabama","01","Calhoun","015",,,,,"0",,,,,,,,,,,,,"0450","99","N","9999","9999","9",,,,,,,,,"1575907564","9996496","Calhoun County","A","+33741989","-085817544","06",,,536,181,330,296,500,36,309,21
"G0100170","2000","US","3","6","Alabama","01","Chambers","017",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1546657021","15382288","Chambers County","A","+32891233","-085288745","06",,,71,22,67,52,71,0,67,0
"G0100190","2000","US","3","6","Alabama","01","Cherokee","019",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1432576264","121290944","Cherokee County","A","+34184158","-085621930","06",,,68,12,14,44,68,0,14,0
"G0100210","2000","US","3","6","Alabama","01","Chilton","021",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1797396705","17552968","Chilton County","A","+32852554","-086689982","06",,,395,57,107,135,367,28,101,6
