GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GSQ001,GSQ002,GSQ003,GSQ004,GSQ005,GSQ006,GSQ007,GSQ008,GSQ009,GSQ010,GSQ011,GSQ012,GSQ013,GSQ014,GSQ015,GSQ016,GSQ017,GSQ018,GSQ019,GSQ020,GSQ021,GSQ022,GSQ023,GSQ024,GSQ025,GSQ026,GSQ027,GSQ028,GSS001,GSS002,GSS003,GSS004,GSS005,GSS006,GSS007,GSS008,GSS009,GSS010,GSS011,GSS012,GSS013,GSS014,GSS015,GSS016,GSS017,GSS018,GSS019,GSS020,GSS021,GSS022,GSS023,GSS024,GSS025,GSS026,GSS027,GSS028
"G0100010","2000","US","3","6","Alabama","01","Autauga","001",,,,,"0",,,,,,,,,,,,,"5240","99","N","9999","9999","9",,,,,,,,,"1543550050","21959029","Autauga County","A","+32523283","-086577176","06",,,9986,2837,7663,5870,1341,1022,1639,1306,46,23,88,67,42,21,80,48,0,0,0,0,43,7,21,9,138,46,80,67,9255,290,7274,337,1098,195,1489,146,36,0,83,0,36,0,80,0,0,0,0,0,43,0,21,0,115,23,65,15
"G0100030","2000","US","3","6","Alabama","01","Baldwin","003",,,,,"0",,,,,,,,,,,,,"5160","99","N","9999","9999","9",,,,,,,,,"4134518782","1115203109","Baldwin County","A","+30592781","-087748260","06",,,32064,14878,26298,24053,2536,2134,3187,2268,229,110,220,122,112,24,125,143,8,3,21,0,286,91,117,49,391,182,366,238,30735,1167,25210,1068,2361,164,2894,293,221,8,219,1,112,0,125,0,8,0,5,16,233,46,92,25,372,10,351,15
"G0100050","2000","US","3","6","Alabama","01","Barbour","005",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2291889572","50799584","Barbour County","A","+31856515","-085331312","06",,,3617,2694,2892,2983,1887,3035,2119,2761,11,53,6,24,3,0,11,6,0,0,0,0,173,36,38,17,33,88,36,23,3524,72,2800,92,1698,189,1864,255,11,0,6,0,3,0,11,0,0,0,0,0,173,0,38,0,33,0,32,4
"G0100070","2000","US","3","6","Alabama","01","Bibb","007",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1613627425","8124469","Bibb County","A","+33040054","-087123243","06",,,4157,2082,3027,3240,604,1373,614,824,14,0,11,27,6,0,6,0,0,0,0,0,30,0,0,10,14,29,38,5,3954,182,2865,162,491,110,544,70,14,0,11,0,6,0,6,0,0,0,0,0,30,0,0,0,14,0,32,6
"G0100090","2000","US","3","6","Alabama","01","Blount","009",,,,,"0",,,,,,,,,,,,,"1000","99","N","9999","9999","9",,,,,,,,,"1672057889","12998871","Blount County","A","+33978461","-086554768","06",,,13043,5364,9843,9269,114,65,64,159,38,25,47,31,32,0,46,25,6,0,7,0,290,216,131,196,131,79,104,125,12480,527,9269,574,99,13,64,0,35,3,35,12,32,0,38,8,6,0,7,0,280,10,129,2,127,4,100,4
"G0100110","2000","US","3","6","Alabama","01","Bullock","011",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1618775183","2703063","Bullock County","A","+32098285","-085704915","06",,,780,813,485,593,1194,1921,1251,1857,11,25,0,16,0,0,0,10,0,0,0,0,5,24,4,0,24,25,19,12,780,0,479,6,1069,115,1056,195,11,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,24,0,13,6
"G0100130","2000","US","3","6","Alabama","01","Butler","013",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"2012076972","2732130","Butler County","A","+31735884","-086662232","06",,,3141,1672,2674,2641,1436,1271,1708,1862,3,0,0,2,7,5,3,11,0,0,0,0,0,0,0,4,4,11,10,15,3026,99,2453,221,1155,269,1345,363,3,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,4,0,10,0
"G0100150","2000","US","3","6","Alabama","01","Calhoun","015",,,,,"0",,,,,,,,,,,,,"0450","99","N","9999","9999","9",,,,,,,,,"1575907564","9996496","Calhoun County","A","+33741989","-085817544","06",,,23284,10908,18510,19025,4014,2711,4415,3850,108,121,83,82,116,46,180,203,8,0,13,0,160,21,82,120,219,147,210,242,22032,1123,17440,1050,3450,549,3824,583,103,5,83,0,110,6,180,0,0,8,13,0,143,17,82,0,211,8,185,25
"G0100170","2000","US","3","6","Alabama","01","Chambers","017",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1546657021","15382288","Chambers County","A","+32891233","-085288745","06",,,5824,2733,4915,4682,2815,1822,3137,2592,26,6,6,0,0,0,6,4,0,0,0,0,16,8,6,9,6,17,50,23,5545,266,4678,237,2508,302,2863,274,26,0,0,6,0,0,6,0,0,0,0,0,16,0,6,0,6,0,41,9
"G0100190","2000","US","3","6","Alabama","01","Cherokee","019",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"1432576264","121290944","Cherokee County","A","+34184158","-085621930","06",,,5488,3224,4391,4942,302,154,280,286,39,27,10,8,10,0,12,10,0,0,0,0,40,0,3,17,14,19,18,6,5311,160,4220,171,277,25,237,43,39,0,1,9,10,0,12,0,0,0,0,0,40,0,3,0,14,0,16,2
