POP,DATE_DESC,HISP,place,year
40560,7/1/2006 population estimate,2,Jefferson,2006
44916,7/1/2007 population estimate,2,Jefferson,2007
47951,7/1/2008 population estimate,2,Jefferson,2008
51308,7/1/2009 population estimate,2,Jefferson,2009
53702,4/1/2010 Census population,2,Jefferson,2010
56205,7/1/2011 population estimate,2,Jefferson,2011
57256,7/1/2012 population estimate,2,Jefferson,2012
58496,7/1/2013 population estimate,2,Jefferson,2013
59716,7/1/2014 population estimate,2,Jefferson,2014
61183,7/1/2015 population estimate,2,Jefferson,2015
62595,7/1/2016 population estimate,2,Jefferson,2016
63322,7/1/2017 population estimate,2,Jefferson,2017
63894,7/1/2018 population estimate,2,Jefferson,2018
64527,7/1/2019 population estimate,2,Jefferson,2019
78726,7/1/2020 population estimate,Hispanic,Jefferson,2020
79805,7/1/2023 population estimate,Hispanic,Jefferson,2023
11146,7/1/2006 population estimate,2,Orleans,2006
13223,7/1/2007 population estimate,2,Orleans,2007
15237,7/1/2008 population estimate,2,Orleans,2008
16862,7/1/2009 population estimate,2,Orleans,2009
18051,4/1/2010 Census population,2,Orleans,2010
18981,7/1/2011 population estimate,2,Orleans,2011
19561,7/1/2012 population estimate,2,Orleans,2012
20473,7/1/2013 population estimate,2,Orleans,2013
20648,7/1/2014 population estimate,2,Orleans,2014
21088,7/1/2015 population estimate,2,Orleans,2015
21373,7/1/2016 population estimate,2,Orleans,2016
21427,7/1/2017 population estimate,2,Orleans,2017
21696,7/1/2018 population estimate,2,Orleans,2018
21484,7/1/2019 population estimate,2,Orleans,2019
30703,7/1/2020 population estimate,Hispanic,Orleans,2020
29563,7/1/2023 population estimate,Hispanic,Orleans,2023
811,7/1/2006 population estimate,2,Plaquemines,2006
847,7/1/2007 population estimate,2,Plaquemines,2007
953,7/1/2008 population estimate,2,Plaquemines,2008
1057,7/1/2009 population estimate,2,Plaquemines,2009
1067,4/1/2010 Census population,2,Plaquemines,2010
1205,7/1/2011 population estimate,2,Plaquemines,2011
1315,7/1/2012 population estimate,2,Plaquemines,2012
1395,7/1/2013 population estimate,2,Plaquemines,2013
1463,7/1/2014 population estimate,2,Plaquemines,2014
1599,7/1/2015 population estimate,2,Plaquemines,2015
1614,7/1/2016 population estimate,2,Plaquemines,2016
