"","est00_Orleans","est22_Orleans","est00_Jefferson","est22_Jefferson","est00_Plaquemines","est22_Plaquemines","est00_St. Bernard","est22_St. Bernard","est00_St. Charles","est22_St. Charles","est00_St. James","est22_St. James","est00_St. John the Baptist","est22_St. John the Baptist"
"1",32935,19509,29937,25621,1916,1350,4156,2908,3507,2855,1481,1062,3467,2354
"2",37160,19845,31632,26441,2245,1502,4579,3101,3835,3310,1729,1146,3712,2546
"3",36931,19153,33082,25154,2259,1538,5178,3368,4588,3564,1852,1220,3888,2674
"4",38351,23241,31998,24376,2195,1532,4766,3102,3917,3476,1944,1173,3604,2822
"5",38729,21690,30056,22954,1694,1349,4423,2415,2674,2845,1370,1084,2996,2506
"6",36105,23224,31155,26028,1505,1386,4284,2590,2716,2816,1125,1105,2603,2388
"7",33349,28607,32289,28626,1971,1556,4407,3574,3489,3172,1427,1201,2968,2514
"8",36378,30031,37465,28413,2547,1494,5474,3562,4205,3529,1727,1190,3724,2448
"9",36764,26019,37245,27335,2116,1635,5656,3272,4804,3476,1668,1203,3611,2564
"10",34802,21131,34549,23786,1849,1406,4882,2677,3676,3117,1500,952,3314,2296
"11",28846,20513,30094,25010,1515,1401,4346,2449,2898,3141,1184,1063,2452,2422
"12",20628,21732,23837,27005,1378,1433,3230,2628,1968,3447,891,1417,1799,2748
"13",16895,23313,17866,28744,916,1416,2638,2686,1437,3638,923,1454,1438,2831
"14",14797,22762,15207,26904,988,1155,2561,2356,1338,3065,827,1296,965,2348
"15",14504,18111,15045,21877,707,881,2627,1620,1300,2282,611,1031,973,1798
"16",12306,11952,12166,15930,507,638,2063,1012,884,1407,416,708,764,1194
"17",8007,6788,6933,9389,249,378,1041,613,401,833,240,471,469,695
"18",7187,6515,4910,8184,200,336,918,530,435,647,301,415,297,444
