"","CensusYear","Population"
"1",2017,11194
"2",2013,5818
"3",2014,5808
"4",2019,29829
"5",2011,6926
"6",2014,12063
"7",2015,12103
"8",2014,5756
"9",2015,5762
"10",2010,24295
"11",2011,121481
"12",2015,49637
"13",2010,1737
"14",2011,177
"15",2016,3010
"16",2017,3004
"17",2010,8711
"18",2018,7740
"19",2019,7622
"20",2011,10267
"21",2012,10213
"22",2012,5137
"23",2013,5075
"24",2013,8674
"25",2014,8632
"26",2015,9384
"27",2016,9321
"28",2018,6372
"29",2011,3424
"30",2017,23026
"31",2018,22770
"32",2013,16174
"33",2014,16032
"34",2019,4428
"35",2015,114111
"36",2016,115311
"37",2014,5165
"38",2015,5145
"39",2011,57712
"40",2016,13264
"41",2011,19157
"42",2012,19219
"43",2017,8698
"44",2018,9119
"45",2012,7586
"46",2013,7420
"47",2012,16199
"48",2013,16120
"49",2011,216518
"50",2014,58026
"51",2015,58235
"52",2017,4770
"53",2010,8272
"54",2012,11136
"55",2018,5707
"56",2019,5721
"57",2012,25013
"58",2013,25614
"59",2015,6796
"60",2016,6701
"61",2010,12339
"62",2015,4593
"63",2016,4563
"64",2010,6053
"65",2013,122404
"66",2014,121912
"67",2019,51880
"68",2016,1601
"69",2018,279
"70",2019,273
"71",2011,3199
"72",2012,3225
"73",2017,8213
"74",2018,8186
"75",2010,8508
"76",2019,9682
"77",2010,198957
"78",2018,205225
"79",2019,205346
"80",2011,5228
"81",2011,9503
"82",2013,6504
"83",2014,6536
"84",2016,3369
"85",2011,23460
"86",2015,15994
"87",2010,4832
"88",2011,112576
"89",2013,5173
"90",2013,12816
"91",2017,1769
"92",2018,1774
"93",2013,19363
"94",2014,19256
"95",2019,9756
"96",2014,7372
"97",2018,12058
"98",2019,11831
"99",2014,16138
"100",2018,231360
"101",2019,230418
"102",2011,56699
"103",2012,57109
"104",2012,4740
"105",2013,4609
"106",2017,7863
"107",2011,11186
"108",2015,5783
"109",2013,6850
"110",2014,6847
"111",2019,11832
"112",2014,4675
"113",2019,5458
"114",2012,25372
"115",2013,25782
"116",2010,119901
"117",2014,1599
"118",2015,1624
"119",2010,119
"120",2014,3176
"121",2015,3116
"122",2015,8295
"123",2016,8287
"124",2018,9779
"125",2012,202466
"126",2019,4672
"127",2011,8904
"128",2012,8770
"129",2018,9135
"130",2019,9104
"131",2019,6356
"132",2012,3439
"133",2013,3422
"134",2019,22507
"135",2011,16286
"136",2012,16221
"137",2017,4533
"138",2018,4505
"139",2014,113521
"140",2017,5130
"141",2018,5176
"142",2012,58499
"143",2017,13250
"144",2018,13115
"145",2015,1805
"146",2016,1790
"147",2010,18879
"148",2010,6486
"149",2011,7301
"150",2016,12309
"151",2017,12136
"152",2011,16282
"153",2015,231490
"154",2016,231936
"155",2016,58213
"156",2017,57852
"157",2018,4826
"158",2019,4796
"159",2018,41321
"160",2013,11190
"161",2014,11290
"162",2010,5998
"163",2010,23793
"164",2010,7114
"165",2013,12076
"166",2018,4496
"167",2019,4420
"168",2011,5971
"169",2012,5921
"170",2017,28015
"171",2018,28519
"172",2012,122405
"173",2018,51534
"174",2012,1686
"175",2013,1657
"176",2018,2919
"177",2012,8526
"178",2013,8441
"179",2015,8153
"180",2014,10075
"181",2015,9864
"182",2017,205494
"183",2010,5327
"184",2010,9055
"185",2019,8082
"186",2014,9343
"187",2015,6483
"188",2019,3390
"189",2014,23398
"190",2012,4728
"191",2013,4692
"192",2010,112422
"193",2019,5100
"194",2013,59499
"195",2014,60414
"196",2010,12699
"197",2011,1757
"198",2016,19233
"199",2017,19153
"200",2011,6830
"201",2012,7204
"202",2017,7104
"203",2018,6988
"204",2013,12760
"205",2014,12673
"206",2019,15639
"207",2012,221587
"208",2013,57717
"209",2015,4686
"210",2016,4701
"211",2019,7644
"212",2012,42020
"213",2013,42003
"214",2015,11313
"215",2016,11247
"216",2011,5913
"217",2012,5845
"218",2017,28106
"219",2018,28925
"220",2012,6837
"221",2018,11949
"222",2010,4607
"223",2013,5875
"224",2019,28805
"225",2015,121974
"226",2016,121668
"227",2010,47947
"228",2015,281
"229",2016,248
"230",2019,8074
"231",2011,8380
"232",2012,8290
"233",2013,10115
"234",2015,204831
"235",2016,205768
"236",2017,4834
"237",2018,4763
"238",2016,8478
"239",2017,8291
"240",2012,9388
"241",2013,9443
"242",2011,6508
"243",2012,6513
"244",2014,3387
"245",2015,3352
"246",2016,15867
"247",2017,15866
"248",2011,4799
"249",2017,116135
"250",2010,5468
"251",2015,61406
"252",2019,12968
"253",2014,1776
"254",2014,7811
"255",2015,8090
"256",2010,7363
"257",2010,13092
"258",2015,16118
"259",2016,16050
"260",2017,231943
"261",2010,55995
"262",2010,4705
"263",2013,7937
"264",2017,41741
"265",2011,3575
"266",2012,3569
"267",2010,11163
"268",2016,5764
"269",2017,5706
"270",2011,24441
"271",2018,6543
"272",2019,6405
"273",2011,12197
"274",2012,12119
"275",2017,4457
"276",2016,27229
"277",2013,48631
"278",2014,49017
"279",2019,1574
"280",2013,220
"281",2014,254
"282",2010,3273
"283",2011,8548
"284",2013,8288
"285",2014,8289
"286",2016,9828
"287",2017,9785
"288",2011,200778
"289",2014,5059
"290",2015,4943
"291",2015,8544
"292",2017,9239
"293",2010,6501
"294",2010,3441
"295",2010,23396
"296",2010,16353
"297",2012,112775
"298",2013,113058
"299",2016,5166
"300",2010,56885
"301",2011,12776
"302",2012,12735
"303",2019,1762
"304",2015,19305
"305",2015,7219
"306",2016,7173
"307",2013,226496
"308",2014,228964
"309",2019,57331
"310",2011,8224
"311",2012,8151
"312",2010,41998
"313",2016,7355
"314",2018,3967
"315",2019,3967
"316",2013,8984
"317",2019,13760
"318",2014,5541
"319",2015,5517
"320",2010,11157
"321",2014,26297
"322",2015,26878
"323",2016,12119
"324",2017,12070
"325",2011,4623
"326",2016,5751
"327",2017,5664
"328",2011,24658
"329",2017,120893
"330",2011,48192
"331",2012,48221
"332",2017,1565
"333",2018,1566
"334",2012,208
"335",2019,2895
"336",2014,8402
"337",2016,7976
"338",2017,7844
"339",2010,10405
"340",2013,203694
"341",2014,204888
"342",2016,4951
"343",2018,8208
"344",2010,9592
"345",2016,6491
"346",2017,6416
"347",2015,23553
"348",2016,23435
"349",2016,4567
"350",2018,116435
"351",2019,116992
"352",2011,5386
"353",2012,5258
"354",2018,63909
"355",2019,64672
"356",2014,12975
"357",2015,13242
"358",2010,1759
"359",2016,8679
"360",2015,12518
"361",2010,16424
"362",2014,4626
"363",2014,7863
"364",2015,7823
"365",2013,3540
"366",2014,3476
"367",2010,7408
"368",2011,4039
"369",2016,10079
"370",2017,10478
"371",2011,5829
"372",2012,5833
"373",2019,10222
"374",2018,11175
"375",2019,11009
"376",2016,27523
"377",2017,6671
"378",2012,4719
"379",2013,4643
"380",2018,5537
"381",2014,26363
"382",2015,26745
"383",2018,119938
"384",2019,119131
"385",2016,50421
"386",2017,51245
"387",2011,1708
"388",2017,255
"389",2013,3194
"390",2017,3381
"391",2018,3415
"392",2012,23523
"393",2013,23519
"394",2018,15746
"395",2019,15568
"396",2014,4608
"397",2015,4588
"398",2016,62336
"399",2017,63026
"400",2012,1773
"401",2013,1751
"402",2018,18935
"403",2019,18778
"404",2013,7598
"405",2019,6815
"406",2011,12977
"407",2012,12920
"408",2017,16058
"409",2018,15833
"410",2010,205747
"411",2018,57611
"412",2011,4770
"413",2016,7818
"414",2014,41939
"415",2011,7372
"416",2017,3930
"417",2012,13751
"418",2013,13732
"419",2014,10577
"420",2014,23986
"421",2015,24083
"422",2014,15991
"423",2017,40568433
"424",2011,17452
"425",2016,29728
"426",2017,30708
"427",2019,41106
"428",2015,3413
"429",2012,3987
"430",2019,10963
"431",2014,13673
"432",2018,5300
"433",2012,10727
"434",2013,10618
"435",2017,24442
"436",2018,24629
"437",2011,34480
"438",2012,34408
"439",2017,16227
"440",2013,39117317
"441",2012,17187
"442",2013,17190
"443",2019,32486
"444",2015,38691
"445",2016,39272
"446",2012,20936
"447",2013,21077
"448",2018,5521
"449",2019,5446
"450",2015,8542
"451",2010,7309
"452",2011,14479
"453",2016,13431
"454",2017,13330
"455",2016,1691
"456",2018,6839
"457",2011,4606
"458",2010,1446739
"459",2018,7735
"460",2011,42030
"461",2016,3371
"462",2017,3343
"463",2014,7416
"464",2015,7361
"465",2011,7427
"466",2012,8201
"467",2017,13650
"468",2018,13717
"469",2013,5721
"470",2017,10376
"471",2018,10290
"472",2011,24126
"473",2012,24144
"474",2018,34117
"475",2014,39488757
"476",2019,15434
"477",2011,27075
"478",2012,27420
"479",2017,39924
"480",2018,40281
"481",2011,2869
"482",2012,2761
"483",2017,21108
"484",2018,21079
"485",2012,5962
"486",2018,8461
"487",2012,7433
"488",2013,7259
"489",2010,14575
"490",2010,13787
"491",2010,8976
"492",2014,1801
"493",2015,1713
"494",2010,7238
"495",2019,6855
"496",2014,4531
"497",2015,4439
"498",2011,1463356
"499",2017,7288
"500",2018,7168
"501",2013,3998
"502",2014,3944
"503",2010,6316
"504",2015,13563
"505",2016,13689
"506",2019,5232
"507",2015,10544
"508",2016,10443
"509",2016,24210
"510",2010,34505
"511",2012,15885
"512",2013,16012
"513",2010,37922522
"514",2015,16816
"515",2016,16504
"516",2015,29041
"517",2010,36532
"518",2010,2958
"519",2010,21074
"520",2013,5815
"521",2014,5810
"522",2019,8375
"523",2014,7245
"524",2015,7133
"525",2013,13708
"526",2014,9602
"527",2010,1812
"528",2015,6946
"529",2013,1483298
"530",2015,2576
"531",2015,5770
"532",2016,5713
"533",2010,8269
"534",2012,14272
"535",2018,13198
"536",2011,9108
"537",2017,1691
"538",2018,1701
"539",2011,7138
"540",2017,4353
"541",2018,4337
"542",2014,1490481
"543",2015,1496993
"544",2010,24442
"545",2016,34502
"546",2017,34426
"547",2015,16145
"548",2016,16096
"549",2011,38379378
"550",2018,40860704
"551",2019,41147488
"552",2014,17007
"553",2010,26715
"554",2012,37176
"555",2013,37658
"556",2018,2409
"557",2019,2342
"558",2014,21280
"559",2015,21287
"560",2010,6155
"561",2016,7160
"562",2018,14022
"563",2019,13894
"564",2014,13669
"565",2015,13589
"566",2018,10404
"567",2019,10484
"568",2011,1830
"569",2013,7044
"570",2014,7008
"571",2019,4277
"572",2016,1502700
"573",2013,34385
"574",2018,15889
"575",2019,15841
"576",2015,39862578
"577",2017,15962
"578",2018,15619
"579",2011,36996
"580",2016,2522
"581",2017,2456
"582",2016,21337
"583",2011,8307
"584",2012,8371
"585",2017,6907
"586",2018,6669
"587",2015,14089
"588",2016,14113
"589",2017,10209
"590",2016,4407
"591",2012,1473295
"592",2019,1500991
"593",2018,3354
"594",2019,3325
"595",2012,7404
"596",2013,7498
"597",2010,4009
"598",2018,10741
"599",2011,13815
"600",2016,5487
"601",2017,5387
"602",2019,24648
"603",2014,34472
"604",2015,34467
"605",2010,15999
"606",2012,38756150
"607",2010,17705
"608",2018,31557
"609",2014,38165
"610",2011,21011
"611",2017,5617
"612",2013,8599
"613",2014,8531
"614",2019,6605
"615",2013,14030
"616",2014,14086
"617",2019,13051
"618",2012,9023
"619",2013,9290
"620",2019,1735
"621",2012,7064
"622",2010,4672
"623",2017,1503753
"624",2015,41828
"625",2016,41864
"626",2010,3587
"627",2019,7102
"628",2015,4038
"629",2016,3985
"630",2014,9425
"631",2015,9768
"632",2010,13953
"633",2010,5975
"634",2011,10932
"635",2013,23736
"636",2019,33817
"637",2011,16091
"638",2016,40231299
"639",2013,28116
"640",2014,28387
"641",2019,40539
"642",2013,2696
"643",2014,2633
"644",2019,20920
"645",2011,6096
"646",2016,8579
"647",2017,8566
"648",2011,7247
"649",2017,14152
"650",2011,13704
"651",2012,13653
"652",2015,9852
"653",2016,10066
"654",2012,1816
"655",2013,1757
"656",2016,6934
"657",2017,6828
"658",2012,4616
"659",2013,4520
"660",2018,1502395
"661",2000,323392
