"","year","Orleans","Jefferson","Plaquemines","St. Bernard","St. Charles","St. James","St. John the Baptist"
"1",2000,15032,32227,483,3506,1364,71,1264
"2",2006,11146,40560,811,1634,2236,210,2046
"3",2007,13223,44916,847,2254,2382,224,2092
"4",2008,15237,47951,953,2687,2445,222,2184
"5",2009,16862,51308,1057,3112,2535,261,2162
"6",2010,18051,53702,1067,3309,2648,256,2175
"7",2011,18981,56205,1205,3718,2661,272,2255
"8",2012,19561,57256,1315,3930,2775,289,2262
"9",2013,20473,58496,1395,4163,2836,323,2275
"10",2014,20648,59716,1463,4341,2951,331,2386
"11",2015,21088,61183,1599,4577,3067,316,2470
"12",2016,21373,62595,1614,4558,3183,345,2515
"13",2017,21427,63322,1710,4542,3227,363,2614
"14",2018,21696,63894,1804,4721,3302,359,2711
"15",2019,21484,64527,1826,4876,3384,387,2857
"16",2020,30703,78726,2213,5936,4111,365,3290
"17",2023,29563,79805,2250,6206,4231,395,3788
