"","PlaceName","Total","White","Black","Asian","Hispanic","pctwhite","pctblack","pctasian","pcthisp","white2000","black2000","asian2000","hispanic2000"
"1","Orleans",376971,133297,224366,11170,21487,0.353600144308183,0.595181061673179,0.0296309265168939,0.0569990795047895,0.266,0.667,0.023,0.031
"2","Jefferson",433688,277590,125476,19380,66207,0.640068436295217,0.289323200088543,0.0446865027392965,0.152660437918504,0.645,0.227,0.031,0.071
"3","Plaquemines",23303,16200,4914,1068,1953,0.695189460584474,0.21087413637729,0.0458310088829764,0.0838089516371283,0.688,0.233,0.026,0.016
"4","St. Bernard",44258,30229,11277,1031,4778,0.683017759501107,0.254801391838764,0.0232952234624249,0.10795788332053,0.844,0.076,0.013,0.051
"5","St. Charles",52282,36574,13865,615,3511,0.699552427221606,0.265196434719406,0.0117631307142037,0.0671550438009258,0.705,0.251,0.006,0.028
"6","St. James",19742,9920,9502,79,363,0.502482018032621,0.481308884611488,0.00400162090973559,0.0183871948130888,0.497,0.492,0,0.006
"7","St. John the Baptist",42094,15764,24862,513,3213,0.374495177459971,0.590630493657053,0.0121870100251817,0.076329168052454,0.51,0.446,0.005,0.029
"8","St. Tammany",269388,220765,37314,4165,16783,0.819505694388763,0.138513964987305,0.0154609707930569,0.0623004736662361,0.853,0.098,0.008,0.025
"9","Metro",1261726,740339,451576,38021,118295,0.586766857463506,0.357903379973148,0.0301341178671122,0.0937564891267993,0.547,0.373,0.021,0.044
"10","United States",331893745,251461611,45060857,20350483,62647044,0.757656975427482,0.135768925081731,0.0613162595155266,0.188756326215187,0.691,0.121,0.037,0.125
