"","year","race","val"
"1",1979,"All",0.264063730972437
"2",1979,"White,
non-Hispanic",0.115187861522695
"3",1979,"Black",0.372729100804684
"4",1979,"Hispanic,
any race",0.242821808796645
"5",1989,"All",0.31626066824892
"6",1989,"White,
non-Hispanic",0.113538176829074
"7",1989,"Black",0.422136422136422
"8",1989,"Hispanic,
any race",0.253225437056264
"9",1999,"All",0.279421841678888
"10",1999,"Black",0.349981106132727
"11",1999,"Hispanic,
any race",0.221473311546841
"12",1999,"White,
non-Hispanic",0.138298408983141
"13",2010,"All",0.271603298956904
"14",2010,"White,
non-Hispanic",0.140408276573174
"15",2010,"Black",0.342507496160503
"16",2010,"Hispanic,
any race",0.279866146123815
"17",2015,"All",0.236539745625866
"18",2015,"White,
non-Hispanic",0.0936016609664275
"19",2015,"Black",0.317926583227696
"20",2015,"Hispanic,
any race",0.178211290170578
"21",2020,"All",0.248138856539579
"22",2020,"White,
non-Hispanic",0.120373867898838
"23",2020,"Black",0.332198201645303
"24",2020,"Hispanic,
any race",0.204615384615385
"25",2021,"Black",0.332198201645303
"26",2021,"White,
non-Hispanic",0.120373867898838
"27",2021,"Hispanic,
any race",0.204615384615385
